unit,s_adj,na_item,geo\time	1995Q1 	1995Q2 	1995Q3 	1995Q4 	1996Q1 	1996Q2 	1996Q3 	1996Q4 	1997Q1 	1997Q2 	1997Q3 	1997Q4 	1998Q1 	1998Q2 	1998Q3 	1998Q4 	1999Q1 	1999Q2 	1999Q3 	1999Q4 	2000Q1 	2000Q2 	2000Q3 	2000Q4 	2001Q1 	2001Q2 	2001Q3 	2001Q4 	2002Q1 	2002Q2 	2002Q3 	2002Q4 	2003Q1 	2003Q2 	2003Q3 	2003Q4 	2004Q1 	2004Q2 	2004Q3 	2004Q4 	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 
CP_MNAC,NSA,B1GQ,AT	41530.4 	44025.2 	44912.5 	46140.6 	42943.6 	45454.7 	46335.0 	47807.7 	44172.0 	46800.6 	47897.4 	49853.8 	46296.8 	49174.3 	49798.2 	51077.3 	47802.5 	50738.5 	51743.7 	53565.9 	50421.9 	53179.7 	53881.8 	56123.1 	52910.4 	54994.4 	55278.0 	57342.3 	54011.0 	56542.8 	57346.0 	58835.4 	55479.1 	57668.2 	58490.1 	60225.1 	57747.2 	60165.6 	61323.1 	63112.3 	59909.9 	63305.1 	64111.8 	66748.2 	63236.9 	66187.5 	67609.8 	70790.3 	67320.7 	70331.7 	71321.0 	75004.6 	71369.4 	73441.5 	73442.1 	75509.0 	68904.8 	70430.5 	72424.5 	76284.1 	69490.7 	72735.4 	75134.5 	78536.1 	74358.5 	76899.3 	78141.6 	80729.2 	76766.4 	78536.5 	79882.7 	83467.4 	77711.3 	79855.6 	81601.4 	84741.9 	79720.0 	82400.4 	83632.6 	87393.1 	81894.6 	85069.4 	86928.0 	90366.5 	85822.7 	87967.3 	89195.1 	93252.5 	89293.3 	91409.9 	92697.2 	96498.7 	94006.4 	95238.8 
CP_MNAC,NSA,B1GQ,BE	51468.0 	53462.0 	51683.0 	55003.0 	52586.0 	54523.0 	52503.0 	56330.0 	54191.0 	57040.0 	55345.0 	59393.0 	57143.0 	59315.0 	57183.0 	60848.0 	58591.0 	61260.0 	59586.0 	64789.0 	62252.0 	65030.0 	62781.0 	68159.0 	64321.0 	67510.0 	64561.0 	69396.0 	66291.0 	69539.0 	66852.0 	72384.0 	68214.0 	71256.0 	68510.0 	74657.0 	71759.0 	75236.0 	72781.0 	78935.0 	74783.0 	78487.0 	75513.0 	82697.0 	78568.0 	82075.0 	79293.0 	86727.0 	83239.0 	87069.0 	83592.0 	90812.0 	86263.0 	90613.0 	86290.0 	90900.0 	84191.0 	87048.0 	85154.0 	92388.0 	86869.0 	92007.0 	89252.0 	96972.0 	91596.0 	95462.0 	92158.0 	99891.0 	94322.0 	97761.0 	93886.0 	101531.0 	94496.0 	98943.0 	95181.0 	103721.0 	96545.0 	100586.0 	97487.0 	105440.0 	98423.0 	103353.0 	99928.0 	108586.0 	100465.0 	107223.0 	103126.0 	111863.0 	104736.0 	110639.0 	106231.0 	115598.0 	107456.0 	113657.0 
CP_MNAC,NSA,B1GQ,BG	266.9 	275.5 	332.9 	392.6 	351.5 	360.5 	568.4 	887.3 	2137.5 	3909.3 	6496.8 	6313.0 	5548.2 	5872.6 	7318.9 	7564.4 	5038.4 	5496.1 	7093.3 	7239.8 	5751.8 	6359.3 	7821.4 	7995.3 	6410.9 	7143.5 	8573.6 	8623.0 	7107.9 	7901.7 	9398.1 	9398.5 	7578.7 	8488.7 	10110.4 	10178.9 	8564.3 	9615.9 	11438.5 	11267.7 	9602.8 	11045.7 	12904.3 	13098.1 	10694.8 	12513.0 	14919.6 	15091.8 	13048.9 	14768.7 	17543.9 	18102.5 	14768.9 	17436.8 	20335.1 	20215.1 	15514.1 	18266.8 	19641.0 	19564.0 	15078.9 	18102.2 	20339.8 	21250.3 	17313.1 	20283.3 	22222.2 	20940.3 	16950.6 	20197.5 	22545.7 	22346.6 	17252.8 	19904.3 	21973.0 	22735.9 	16863.4 	20118.8 	23258.4 	23515.5 	18111.5 	21933.9 	23875.3 	24654.5 	19474.8 	22692.7 	25573.0 	26389.5 	20659.0 	24617.9 	27521.8 	28243.9 	21982.9 p	26307.7 p
CP_MNAC,NSA,B1GQ,CY	1772.0 	1934.2 	1969.1 	2003.0 	1868.2 	1995.5 	2034.4 	2081.4 	1944.1 	2087.9 	2163.9 	2177.6 	2076.8 	2286.5 	2345.3 	2351.1 	2248.7 	2433.1 	2513.4 	2536.3 	2505.6 	2730.9 	2679.7 	2678.9 	2657.1 	2905.0 	2944.5 	2910.2 	2798.7 	2993.6 	2988.1 	3096.7 	2998.6 	3193.1 	3218.7 	3435.0 	3273.0 	3406.5 	3539.1 	3637.8 	3521.4 	3695.0 	3783.0 	3822.9 	3764.0 	4013.5 	4078.5 	4144.1 	4106.5 	4388.9 	4466.8 	4549.4 	4531.2 	4809.9 	4877.6 	4787.5 	4488.7 	4683.8 	4714.2 	4786.8 	4613.4 	4821.7 	4913.2 	4951.1 	4721.6 	4980.0 	4971.0 	5058.4 	4727.6 	4916.9 	4945.5 	4899.7 	4343.9 	4684.0 	4628.0 	4484.7 	4223.6 	4451.1 	4543.3 	4392.0 	4203.8 	4467.8 	4554.2 	4520.3 	4282.5 	4634.7 	4758.3 	4814.7 	4581.0 	4870.5 	5026.5 	5093.0 	4841.5 	5157.0 
CP_MNAC,NSA,B1GQ,CZ	351159.0 	391844.0 	412120.0 	431324.0 	409858.0 	452063.0 	468312.0 	488109.0 	440908.0 	485938.0 	503631.0 	528248.0 	483926.0 	542240.0 	556445.0 	563778.0 	503674.0 	563117.0 	573883.0 	601743.0 	537495.0 	596078.0 	611036.0 	634784.0 	580217.0 	640112.0 	657811.0 	690169.0 	615939.0 	676048.0 	685726.0 	703931.0 	646079.0 	704066.0 	717983.0 	742254.0 	695854.0 	754409.0 	777041.0 	835140.0 	749694.0 	816772.0 	824170.0 	874295.0 	801891.0 	869390.0 	895248.0 	946269.0 	885010.0 	949887.0 	977949.0 	1027271.0 	929702.0 	1015946.0 	1040455.0 	1038014.0 	933029.0 	982413.0 	986656.0 	1028311.0 	917765.0 	1002361.0 	1003951.0 	1038387.0 	935801.0 	1015093.0 	1020757.0 	1062104.0 	957466.0 	1021068.0 	1021043.0 	1060335.0 	947380.0 	1020805.0 	1038854.0 	1091089.0 	990626.0 	1076850.0 	1107159.0 	1139154.0 	1058526.0 	1155270.0 	1175617.0 	1206370.0 	1108360.0 	1208935.0 	1209349.0 	1241346.0 	1156870.0 	1265905.0 	1288766.0 	1333647.0 	1227044.0 	1330946.0 
CP_MNAC,NSA,B1GQ,DE	455720.0 	469570.0 	481290.0 	492300.0 	461610.0 	474940.0 	490020.0 	499750.0 	465770.0 	490340.0 	500520.0 	510460.0 	486450.0 	497240.0 	512690.0 	521850.0 	495250.0 	507670.0 	524670.0 	537290.0 	515500.0 	523900.0 	536120.0 	540960.0 	530610.0 	537700.0 	551580.0 	559960.0 	533820.0 	545370.0 	565210.0 	564890.0 	537940.0 	545670.0 	568360.0 	568110.0 	552710.0 	562540.0 	576790.0 	578580.0 	553310.0 	572460.0 	587360.0 	587730.0 	578060.0 	588460.0 	609480.0 	617250.0 	612320.0 	618050.0 	640760.0 	642100.0 	631100.0 	643190.0 	652180.0 	635270.0 	598060.0 	601830.0 	627800.0 	632590.0 	620070.0 	634280.0 	660590.0 	665120.0 	662940.0 	665880.0 	689120.0 	685180.0 	682730.0 	678150.0 	701300.0 	696080.0 	685460.0 	698330.0 	723160.0 	719290.0 	719600.0 	722410.0 	747800.0 	748780.0 	742830.0 	750560.0 	775480.0 	779990.0 	770400.0 	789220.0 	799880.0 	800250.0 	803370.0 	808720.0 	833240.0 	832010.0 	828980.0 	842860.0 
CP_MNAC,NSA,B1GQ,DK	254333.0 	261543.0 	252839.0 	267767.0 	260774.0 	275165.0 	269624.0 	282460.0 	273931.0 	291776.0 	281821.0 	298602.0 	288367.0 	294317.0 	293804.0 	309500.0 	296266.0 	310017.0 	306643.0 	328595.0 	316940.0 	330372.0 	327423.0 	352177.0 	329476.0 	342089.0 	340469.0 	359492.0 	337814.0 	355013.0 	350032.0 	367412.0 	347292.0 	356765.0 	354633.0 	378062.0 	360562.0 	375295.0 	373172.0 	396972.0 	372664.0 	401054.0 	395802.0 	416464.0 	399594.0 	427484.0 	421474.0 	433708.0 	416069.0 	431812.0 	432689.0 	458276.0 	432763.0 	456652.0 	454312.0 	457743.0 	420757.0 	426600.0 	429248.0 	445538.0 	430538.0 	454629.0 	455756.0 	470002.0 	449742.0 	466636.0 	456526.0 	473950.0 	457613.0 	477661.0 	474105.0 	485623.0 	464259.0 	487525.0 	482170.0 	495723.0 	479594.0 	495209.0 	493652.0 	512711.0 	494836.0 	512677.0 	503481.0 	516116.0 	496228.0 	522647.0 	511682.0 	535406.0 	525968.0 	542939.0 	529789.0 	550918.0 	521637.0 	549216.0 
CP_MNAC,NSA,B1GQ,EE	601.7 	707.5 	716.9 	753.4 	777.8 	931.6 	961.7 	978.1 	960.3 	1150.0 	1175.6 	1208.9 	1182.5 	1307.4 	1284.3 	1274.9 	1221.1 	1390.5 	1365.1 	1402.1 	1390.9 	1575.3 	1542.7 	1661.9 	1569.6 	1797.4 	1751.8 	1857.6 	1753.4 	1999.2 	1961.6 	2059.6 	1998.5 	2228.8 	2194.2 	2287.3 	2297.3 	2377.4 	2478.9 	2554.1 	2515.2 	2833.1 	2893.1 	3020.9 	3020.4 	3355.5 	3478.7 	3667.1 	3684.3 	4069.3 	4144.0 	4348.8 	3875.4 	4365.2 	4193.9 	4082.8 	3448.7 	3611.9 	3477.3 	3607.9 	3305.3 	3679.1 	3771.2 	3960.9 	3798.2 	4212.0 	4255.1 	4402.3 	4112.7 	4559.9 	4566.8 	4695.4 	4387.5 	4781.0 	4812.9 	4950.8 	4644.9 	5071.1 	5044.7 	5300.5 	4771.2 	5233.6 	5230.2 	5417.0 	4998.8 	5418.5 	5475.6 	5789.8 	5406.6 	5961.1 	5959.3 	6288.1 	5819.4 	6439.8 
CP_MNAC,NSA,B1GQ,EL	20887.4 	22209.3 	24526.9 	25440.0 	22873.6 	24477.0 	27238.8 	28447.3 	25426.7 	27315.3 	30293.1 	31677.1 	27990.7 	29955.5 	32956.8 	34359.5 	30196.7 	32196.2 	34833.3 	36562.5 	32419.4 	34213.8 	36937.1 	37677.0 	35236.6 	36726.4 	39842.8 	40388.1 	37497.1 	39873.9 	42337.7 	43752.0 	40880.6 	43418.8 	46681.7 	47923.8 	44878.1 	47605.0 	50815.4 	50417.3 	45727.0 	49176.8 	51750.2 	52588.3 	50093.1 	53992.3 	55923.2 	57852.9 	52830.7 	58358.9 	59929.0 	61575.9 	55877.2 	60744.8 	63078.4 	62290.0 	53386.0 	60220.5 	61255.1 	62672.7 	54252.7 	57353.1 	57630.0 	56795.6 	48813.8 p	53066.7 p	53779.1 p	51369.3 p	45118.3 p	48325.1 p	49745.9 p	48014.6 p	42273.8 p	45860.3 p	47734.3 p	44785.9 p	40859.8 p	44623.8 p	48119.2 p	45053.7 p	40635.7 p	44542.0 p	46463.8 p	44670.5 p	39848.4 p	44144.4 p	46367.9 p	43838.5 p	40462.2 p	44831.8 p	47565.5 p	44875.7 p	41604.8 p	45944.2 p
CP_MNAC,NSA,B1GQ,ES	109160.0 	116058.0 	111867.0 	122252.0 	115681.0 	122918.0 	119712.0 	129681.0 	122090.0 	129886.0 	126659.0 	139414.0 	130146.0 	139348.0 	135818.0 	148730.0 	140855.0 	149501.0 	145490.0 	158470.0 	153378.0 	162400.0 	158526.0 	171946.0 	166204.0 	176003.0 	171385.0 	185936.0 	178035.0 	189241.0 	183483.0 	198529.0 	191429.0 	202696.0 	196584.0 	212763.0 	204597.0 	217279.0 	210830.0 	228714.0 	220699.0 	235441.0 	227156.0 	247270.0 	239893.0 	254684.0 	245818.0 	267579.0 	257880.0 	273403.0 	262365.0 	287159.0 	270112.0 	285574.0 	272104.0 	288435.0 	261276.0 	274445.0 	262359.0 	280972.0 	260244.0 	275125.0 	263761.0 	281805.0 	260822.0 	273442.0 	261210.0 	274975.0 	255050.0 	264226.0 	255240.0 	265299.0 	248176.0 	260104.0 	252121.0 	265292.0 	249537.0 	261898.0 	255947.0 	270438.0 	258272.0 	272887.0 	267162.0 	282844.0 	266884.0 p	283781.0 p	276900.0 p	291178.0 p	277868.0 p	295595.0 p	287460.0 p	305396.0 p	288098.0 p	305319.0 p
CP_MNAC,NSA,B1GQ,FI	22556.0 	24834.0 	24694.0 	26472.0 	23644.0 	25465.0 	25331.0 	27620.0 	25144.0 	27586.0 	27737.0 	30271.0 	27753.0 	30074.0 	30243.0 	32312.0 	29685.0 	31786.0 	31504.0 	33948.0 	31965.0 	33835.0 	33939.0 	36522.0 	34457.0 	36324.0 	35892.0 	37764.0 	34835.0 	37573.0 	36682.0 	39199.0 	35476.0 	38012.0 	37773.0 	40308.0 	37112.0 	39630.0 	39234.0 	42501.0 	38756.0 	41277.0 	40737.0 	43617.0 	40746.0 	43041.0 	42758.0 	46069.0 	43687.0 	46642.0 	46174.0 	50081.0 	46168.0 	49199.0 	48370.0 	49974.0 	43563.0 	45373.0 	44723.0 	47370.0 	43469.0 	47260.0 	46132.0 	50239.0 	46805.0 	49554.0 	48840.0 	51670.0 	48500.0 	50329.0 	49336.0 	51628.0 	48313.0 	51405.0 	50588.0 	53032.0 	49036.0 	51707.0 	51060.0 	53671.0 	49702.0 	52965.0 	51962.0 	54975.0 	51163.0 	54554.0 	53708.0 	56686.0 	53507.0 	56377.0 	55268.0 	58691.0 	55577.0 	58671.0 
CP_MNAC,NSA,B1GQ,FR	303932.0 	306527.0 	297688.0 	310124.0 	312161.0 	314020.0 	306769.0 	319316.0 	316089.0 	325190.0 	317093.0 	334403.0 	333376.0 	339323.0 	332035.0 	347163.0 	342753.0 	349982.0 	344704.0 	363562.0 	363102.0 	368958.0 	362808.0 	383717.0 	378883.0 	384367.0 	376979.0 	397969.0 	389798.0 	397824.0 	390613.0 	409593.0 	402564.0 	403836.0 	400758.0 	423508.0 	420394.0 	426237.0 	417254.0 	440131.0 	434829.0 	444117.0 	431215.0 	455742.0 	452446.0 	462746.0 	452613.0 	480345.0 	475092.0 	484999.0 	477669.0 	503599.0 	494721.0 	503877.0 	489582.0 	504201.0 	479796.0 	483557.0 	473911.0 	499173.0 	487639.0 	499369.0 	492231.0 	516050.0 	508658.0 	516517.0 	505110.0 	528082.0 	518827.0 	522432.0 	512527.0 	535018.0 	521551.0 	531031.0 	520989.0 	543617.0 	530757.0 	536400.0 	529353.0 	553256.0 	542865.0 	548673.0 	541096.0 	565799.0 	553844.0 	559083.0 	544886.0 	570755.0 	564788.0 	572214.0 	563227.0 	591485.0 	580758.0 	584883.0 
CP_MNAC,NSA,B1GQ,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	40759.0 	44699.0 	48550.2 	46232.7 	44394.7 	49045.2 	51655.3 	49175.5 	48947.3 	52660.6 	57342.1 	52550.4 	53562.0 	58356.2 	63090.1 	57435.7 	57813.2 	62771.3 	67548.1 	62432.1 	60570.4 	67902.2 	73484.5 	67822.3 	67001.2 	73832.2 	79444.3 	73872.6 	73585.5 	81102.0 	86778.9 	80997.4 	80022.4 	88453.3 	94389.3 	84884.9 	76564.7 	84259.4 	88008.8 	82534.0 	75412.7 	82329.3 	89500.1 	81901.1 	75315.7 	84394.6 	90732.6 	83013.7 	75044.9 	83270.2 	90212.4 	82297.5 	75611.8 	84318.3 	90029.4 	81825.4 	74491.8 	83758.4 	90571.4 	82748.1 	75788.5 	85502.0 	93870.5 	84455.3 	78195.8 	88040.9 	97306.4 	87805.9 	80757.8 	91611.2 	102078.8 	91195.4 	84025.1 	96200.5 
CP_MNAC,NSA,B1GQ,HU	1258044.0 	1434384.0 	1462729.0 	1680476.0 	1608356.0 	1749305.0 	1772954.0 	1991849.0 	1976443.0 	2172907.0 	2220547.0 	2463398.0 	2356635.0 	2568930.0 	2643775.0 	2887131.0 	2568420.0 	2860343.0 	2967131.0 	3264668.0 	2948844.0 	3272541.0 	3445423.0 	3683266.0 	3409702.0 	3901045.0 	3970602.0 	4137785.0 	3963335.0 	4312949.0 	4446688.0 	4738728.0 	4183364.0 	4712077.0 	4865138.0 	5378339.0 	4767417.0 	5350001.0 	5333112.0 	5648538.0 	4884607.0 	5641503.0 	5780506.0 	6253264.0 	5291394.0 	6050223.0 	6269755.0 	6645585.0 	5781305.0 	6337079.0 	6524823.0 	7037007.0 	6336979.0 	6826864.0 	6738939.0 	7290848.0 	6002710.0 	6523404.0 	6595041.0 	7303449.0 	6031666.0 	6696276.0 	6936089.0 	7560568.0 	6276898.0 	6930986.0 	7243018.0 	7854036.0 	6458728.0 	7092769.0 	7406545.0 	7823022.0 	6693755.0 	7499790.0 	7798152.0 	8256538.0 	7231800.0 	8065827.0 	8444690.0 	8841107.0 	7570288.0 	8427849.0 	8804064.0 	9576392.0 	7807474.0 	8863067.0 	9088717.0 	9714928.0 	8375561.0 	9477132.0 	9826532.0 	10675890.0 	9127030.0 	10378920.0 
