age,sex,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
Y_LT25,T,PC_ACT,AT	5.9 	6.3 	6.7 	6.2 	5.4 	5.6 	6.2 	6.7 	7.6 d	10.5 	11.0 	9.8 	9.4 	8.5 	10.7 	9.5 	8.9 	9.4 	9.7 	10.3 	10.6 	11.2 	9.8 
Y_LT25,T,PC_ACT,BE	22.9 	22.1 	22.0 	22.1 	20.3 	16.7 	16.8 	17.7 	21.8 	21.2 	21.5 	20.5 	18.8 	18.0 	21.9 	22.4 	18.7 	19.8 	23.7 	23.2 	22.1 	20.1 	19.3 b
Y_LT25,T,PC_ACT,BG	: 	: 	: 	: 	: 	33.7 	38.2 	35.4 	26.6 	24.3 	21.0 	18.3 	14.1 	11.9 	15.1 	21.9 d	25.0 	28.1 	28.4 	23.8 	21.6 	17.2 	12.9 
Y_LT25,T,PC_ACT,CY	: 	: 	: 	: 	: 	9.9 	8.2 	8.0 	8.8 	10.2 d	13.9 	10.0 	10.2 	9.0 	13.8 	16.6 	22.4 	27.7 	38.9 	36.0 	32.8 	29.1 	24.7 
Y_LT25,T,PC_ACT,CZ	7.8 	7.2 	8.6 	12.4 	17.0 	17.0 	16.6 	16.0 	17.6 	20.4 	19.3 	17.5 	10.7 	9.9 	16.6 	18.3 	18.1 	19.5 	18.9 	15.9 	12.6 	10.5 	7.9 
Y_LT25,T,PC_ACT,DE	8.9 	10.0 	10.6 	9.7 	9.0 	8.7 	8.3 	9.8 	11.5 	13.7 	15.4 d	13.6 	11.8 	10.4 	11.1 	9.8 	8.5 	8.0 	7.8 	7.7 	7.2 	7.1 	6.8 
Y_LT25,T,PC_ACT,DK	9.6 	9.7 	7.7 	7.3 	9.1 	6.2 	8.3 	7.4 	9.2 	8.2 	8.6 	7.7 d	7.5 	8.0 	11.8 	13.9 	14.2 	14.1 	13.0 	12.6 	10.8 	12.0 	11.0 
Y_LT25,T,PC_ACT,EE	: 	: 	: 	: 	: 	23.9 	22.2 	17.9 	20.9 	23.9 	15.1 	12.1 	10.1 	12.0 d	27.4 	32.9 	22.4 	20.9 	18.7 	15.0 	13.1 	13.4 	12.1 
Y_LT25,T,PC_ACT,EL	: 	: 	: 	30.4 	31.5 	29.1 	28.0 	26.8 	26.8 d	26.5 	25.8 	25.0 	22.7 	21.9 	25.7 	33.0 	44.7 	55.3 	58.3 	52.4 	49.8 	47.3 	43.6 
Y_LT25,T,PC_ACT,ES	39.8 d	39.2 	36.1 	32.4 	26.4 	23.2 	21.1 	22.2 	22.7 	22.0 	19.6 	17.9 	18.1 	24.5 	37.7 	41.5 	46.2 	52.9 	55.5 	53.2 	48.3 	44.4 	38.6 
Y_LT25,T,PC_ACT,FI	29.7 	28.0 	25.2 	23.5 	21.4 	21.4 	19.8 	21.0 	21.8 	20.7 	20.1 	18.7 	16.5 	16.5 	21.5 	21.4 	20.1 	19.0 	19.9 	20.5 	22.4 	20.1 	20.1 
Y_LT25,T,PC_ACT,FR	34.7 d	37.2 	39.3 	37.8 	37.3 	31.5 	29.1 	30.5 	18.8 	20.4 	21.0 	22.0 	19.5 	19.0 	23.6 	23.3 	22.6 	24.4 	24.9 	24.2 	24.7 	24.6 	22.3 
Y_LT25,T,PC_ACT,HR	: 	: 	: 	: 	: 	37.3 	39.9 	36.2 	34.0 	32.9 	31.7 	28.9 d	25.4 	23.6 	25.4 	32.3 	36.6 	42.2 	49.9 	44.9 	42.3 	31.8 	27.2 
Y_LT25,T,PC_ACT,HU	: 	19.7 	17.2 	15.3 	12.5 	11.9 	11.0 	11.9 	13.2 	15.5 	19.4 	19.1 	18.1 	19.5 d	26.4 	26.4 	26.0 	28.2 	26.6 	20.4 	17.3 	12.9 	10.7 
Y_LT25,T,PC_ACT,IE	19.5 	18.2 	15.4 	11.3 	9.4 	6.9 	7.3 	8.5 	8.9 	8.8 	8.7 	8.8 	9.2 	13.5 	24.5 	28.1 	29.6 	30.8 	26.7 	23.4 	20.2 	16.8 	14.4 
Y_LT25,T,PC_ACT,IT	29.9 	29.9 	29.6 	29.2 	28.0 	26.2 	23.1 	22.0 	23.6 	23.5 	24.1 	21.8 	20.4 	21.2 	25.3 	27.9 	29.2 	35.3 	40.0 	42.7 	40.3 	37.8 	34.7 
Y_LT25,T,PC_ACT,LT	: 	: 	: 	22.9 	27.2 	30.0 	31.1 	23.0 	24.8 	21.8 	15.8 	10.0 	8.4 	13.3 	29.6 	35.7 	32.6 	26.7 	21.9 	19.3 	16.3 	14.5 	13.3 
Y_LT25,T,PC_ACT,LU	7.2 	8.2 	7.9 	6.9 	6.9 	6.4 	6.2 	7.0 	11.2 	16.4 	14.6 	15.5 d	15.6 	17.3 	16.5 	15.8 	16.4 	18.0 	16.9 	22.3 	16.6 	19.1 	15.4 
Y_LT25,T,PC_ACT,LV	: 	: 	: 	: 	24.0 	22.4 	22.7 d	20.3 	19.6 	20.0 	15.1 	13.6 	10.6 	13.6 	33.3 	36.2 	31.0 	28.5 	23.2 	19.6 	16.3 	17.3 	17.0 
Y_LT25,T,PC_ACT,MT	: 	: 	: 	: 	: 	14.2 	19.2 	15.4 	17.0 	17.1 	16.7 	16.1 	14.2 	12.4 	15.2 	14.0 	14.0 	14.8 	13.7 	12.5 	12.6 	11.9 	11.3 
Y_LT25,T,PC_ACT,NL	16.8 	15.7 	12.4 	10.9 	9.4 	8.2 	6.7 	7.4 d	9.9 	11.4 	11.8 	10.0 	9.4 	8.6 	10.2 	11.1 	10.0 	11.7 	13.2 	12.7 	11.3 	10.8 	8.9 
Y_LT25,T,PC_ACT,PL	: 	: 	23.2 	22.5 	30.1 	34.9 	39.5 	42.5 	41.9 	39.6 	36.9 	29.8 	21.6 	17.2 	20.6 d	23.7 	25.8 	26.5 	27.3 	23.9 	20.8 	17.7 	14.8 
Y_LT25,T,PC_ACT,PT	18.3 	18.7 	17.2 d	14.1 	12.8 	12.5 	13.4 	15.6 	18.6 	19.7 	20.8 	21.2 	21.4 	21.6 	25.3 	28.2 	30.2 	38.0 	38.1 	34.7 	32.0 	28.2 	23.8 
Y_LT25,T,PC_ACT,RO	: 	: 	15.8 	15.4 	16.5 	16.5 	17.0 	19.8 	18.5 d	20.5 	19.1 	20.2 	19.3 	17.6 	20.0 	22.1 	23.9 	22.6 	23.7 	24.0 	21.7 	20.6 	18.3 
Y_LT25,T,PC_ACT,SE	19.1 	20.5 	20.6 	16.1 	12.3 	10.5 d	15.0 b	16.4 	17.4 	20.4 	22.6 	21.5 	19.2 	20.2 	25.0 	24.8 	22.8 	23.7 	23.6 	22.9 	20.4 	18.9 	17.8 
Y_LT25,T,PC_ACT,SI	: 	17.5 	17.2 	17.8 	17.5 	16.3 	17.8 	16.5 	17.3 	16.1 	15.9 	13.9 	10.1 	10.4 	13.6 	14.7 	15.7 	20.6 	21.6 	20.2 	16.3 	15.2 	11.2 
