unit,geo\time	2000 	2010 	2012 
KM2,AT	11614.7 	11811.7 	12027.3 
KM2,BE	168.4 	98.6 	98.1 
KM2,BG	5008.2 	3129.5 	2987.5 
KM2,CY	703.7 	506.9 	512.7 
KM2,CZ	2023.1 	978.8 	924.4 
KM2,DE	7894.7 	4393.5 	3877.1 
KM2,DK	3.0 	2.0 	1.8 
KM2,EE	3.1 	1.3 	1.2 
KM2,EL	13337.1 	11631.5 	11988.0 
KM2,ES	52599.5 	42658.3 	40384.6 
KM2,EU28	234833.8 	206856.6 	201884.6 
KM2,FI	37.9 	34.3 	5.1 
KM2,FR	21068.5 	17293.2 	17107.1 
KM2,HR	4129.6 	3692.4 	3681.9 
KM2,HU	2485.2 	2175.3 	2006.9 
KM2,IE	389.6 	374.9 	633.4 
KM2,IT	70990.4 	67914.9 	67688.8 
KM2,LT	15.7 	11.8 	9.7 
KM2,LU	84.6 	63.2 	62.2 
KM2,LV	5.3 	3.9 	3.5 
KM2,MT	57.5 	22.8 	27.6 
KM2,NL	4.3 	2.0 	1.9 
KM2,PL	3739.2 	3203.4 	3100.6 
KM2,PT	4400.9 	3735.7 	3456.2 
KM2,RO	17288.6 	16158.5 	16699.7 
KM2,SE	2485.8 	2525.3 	2478.3 
KM2,SI	3760.9 	3682.8 	3671.5 
KM2,SK	2606.1 	2156.8 	2057.9 
KM2,UK	7928.3 	8593.6 	6389.6 
PC,AT	15.43 	15.55 	15.94 
PC,BE	0.70 	0.41 	0.41 
PC,BG	4.82 	3.01 	2.86 
PC,CY	8.54 	6.12 	6.18 
PC,CZ	2.77 	1.34 	1.26 
PC,DE	2.46 	1.37 	1.22 
PC,DK	0.01 	0.01 	0.00 
PC,EE	0.01 	0.00 	0.00 
PC,EL	10.79 	9.41 	9.72 
PC,ES	10.92 	8.85 	8.42 
PC,EU28	5.99 	5.26 	5.16 
PC,FI	0.01 	0.01 	0.00 
PC,FR	4.14 	3.39 	3.37 
PC,HR	7.78 	6.95 	6.89 
PC,HU	2.94 	2.57 	2.37 
PC,IE	0.72 	0.68 	1.13 
PC,IT	25.83 	24.61 	24.58 
PC,LT	0.03 	0.02 	0.02 
PC,LU	3.60 	2.68 	2.67 
PC,LV	0.01 	0.01 	0.01 
PC,MT	28.64 	11.36 	12.74 
PC,NL	0.02 	0.01 	0.01 
PC,PL	1.28 	1.09 	1.08 
PC,PT	5.24 	4.44 	4.11 
PC,RO	8.09 	7.51 	7.66 
PC,SE	0.67 	0.68 	0.67 
PC,SI	19.38 	18.98 	18.94 
PC,SK	5.71 	4.69 	4.50 
PC,UK	3.86 	4.12 	3.25 
