na_item,co_nco,sector,finpos,unit,geo\time	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
F,NCO,S12,LIAB,MIO_NAC,AT	479107.6 	516240.6 	550546.7 	607681.5 	688613.9 	757465.9 	793898.4 	798297.1 	857899.0 	952876.0 	1167563.9 	1280383.7 	1420781.1 	1575738.2 	1543904.0 	1514665.3 	1537010.7 	1543115.1 	1493546.2 	1481380.6 	1479500.8 	1440426.2 	1466702.4 
F,NCO,S12,LIAB,MIO_NAC,BE	768618.0 	842465.1 	914168.2 	1057538.9 	1138733.6 	1165626.0 	1252307.0 	1233922.6 	1370512.9 	1552181.1 	1805074.8 	2008667.9 	2298836.1 	2197637.9 	2204691.0 	2168326.6 	2285631.7 	2169220.9 	2188507.7 	2260373.4 	2321308.5 	2376566.8 	2392255.3 
F,NCO,S12,LIAB,MIO_NAC,BG	1662.0 	4729.0 	15321.0 	16235.0 	19195.0 	24656.0 	26274.0 	28360.0 	34617.0 	47280.0 	63463.0 	96430.0 	124696.0 	123667.0 	125274.0 	118468.0 	124924.0 	137672.0 	143539.0 	151616.0 	161054.0 	179022.0 	180951.0 
F,NCO,S12,LIAB,MIO_NAC,CY	20960.0 	24542.1 	26328.3 	29894.1 	45887.9 	39915.8 	43112.1 	44221.6 	49420.1 	59404.9 	79677.4 	103167.0 	131195.5 	282906.5 	315923.9 	342510.7 	321597.2 	342130.1 	289887.7 	279329.4 	310203.8 	315935.4 	308731.6 
F,NCO,S12,LIAB,MIO_NAC,CZ	2371865.0 	2604134.0 	3076839.0 	3284825.0 	3475069.0 	3615015.0 	3642886.0 	3968800.0 	4143183.0 	4380564.0 	4860864.0 	5031704.0 	5810385.0 	6157737.0 	6312649.0 	6516094.0 	6794617.0 	7147743.0 	7963007.0 	8374722.0 	9051263.0 	10524787.0 	12935162.0 
F,NCO,S12,LIAB,MIO_NAC,DE	5587088.0 	6153642.0 	6947572.0 	7835449.0 	8756128.0 	9447006.0 	9960084.0 	10059778.0 	10375666.0 	10784318.0 	11467918.0 	12018961.0 	13005662.0 	13603537.0 	12740353.0 	12604990.0 	12968900.0 	13398237.0 	12561910.0 	13137296.0 	13520236.0 	14204845.0 	14774825.0 
F,NCO,S12,LIAB,MIO_NAC,DK	3559665.0 	4010753.0 	4781187.0 	5526080.0 	6128685.0 	6723539.0 	6809226.0 	6806614.0 	7336827.0 	7909143.0 	9926349.0 	11110058.0 	12241227.0 	12236022.0 	12924706.0 	14179420.0 	14409675.0 	14775965.0 	15040150.0 	16140443.0 	15959785.0 	16661314.0 	17336328.0 
F,NCO,S12,LIAB,MIO_NAC,EE	1640.7 	2729.1 	4941.2 	4763.6 	5816.6 	8237.5 	9319.1 	11580.8 	13137.4 	17660.8 	21792.4 	25072.0 	32007.7 	33370.9 	30755.9 	28010.3 	27965.7 	30896.6 	34121.1 	38608.6 	41945.2 	44834.4 	49167.9 
F,NCO,S12,LIAB,MIO_NAC,EL	129973.4 	144823.2 	161847.3 	189045.2 	273172.3 	268238.3 	270836.7 	271232.7 	296651.2 	322026.7 	376705.2 	430670.3 	526433.2 	549507.5 	605067.1 	656118.6 	631959.1 	616701.1 	508214.0 	466659.9 	538248.3 	448993.5 	391003.5 
F,NCO,S12,LIAB,MIO_NAC,ES	975029.0 	1086050.0 	1241121.0 	1390064.0 	1558454.0 	1684841.0 	1812176.0 	1911523.0 	2233275.0 	2596432.0 	3252269.0 	3903603.0 	4558453.0 	4733935.0 	4916111.0 	4827731.0 	4972402.0 	5114934.0 	4556067.0 	4539233.0 	4482552.0 	4516377.0 	4695994.0 
F,NCO,S12,LIAB,MIO_NAC,FI	152556.0 	151578.0 	170175.0 	178383.0 	207012.0 	215088.0 	236775.0 	246834.0 	281216.0 	319044.0 	363464.0 	406939.0 	448537.0 	523685.0 	564326.0 	676740.0 	871477.0 	859641.0 	760129.0 	830335.0 	841660.0 	874085.0 	840730.0 
F,NCO,S12,LIAB,MIO_NAC,FR	3840755.0 	4094824.0 	4500763.0 	4754063.0 	5455298.0 	5818645.0 	6096248.0 	6174087.0 	6595711.0 	7245557.0 	8331705.0 	9606077.0 	10840091.0 	11065312.0 	10998887.0 	11388577.0 	12179133.0 	12353518.0 	12413707.0 	13103562.0 	13388907.0 	13990973.0 	14591497.0 
F,NCO,S12,LIAB,MIO_NAC,HR	: 	: 	: 	: 	: 	: 	206209.1 	254615.1 	304568.8 	348725.4 	394385.7 	498061.8 	615372.7 	565636.2 	590947.3 	611780.5 	623869.3 	631525.9 	649428.3 	654054.0 	666799.5 	688894.7 	716023.7 
F,NCO,S12,LIAB,MIO_NAC,HU	9422076.0 	10277541.0 	11896934.0 	13782909.0 	17425830.0 	23244290.0 	28827953.0 	29758512.0 	33414544.0 	36149573.0 	48819350.0 	57553129.0 	71150432.0 	89730583.0 	91421972.0 	91180798.0 	96887939.0 	91227110.0 	90020485.0 	97601558.0 	98002963.0 	116953002.0 	107613150.0 
F,NCO,S12,LIAB,MIO_NAC,IE	: 	: 	: 	: 	: 	: 	1077442.0 	1190200.0 	1458020.0 	1751386.0 	2366540.0 	2877439.0 	3154780.0 	3358865.0 	3471735.0 	3691722.0 	3607447.0 	3542735.0 	3611739.0 	4317763.0 	4732176.0 	4805403.0 	5012561.0 
F,NCO,S12,LIAB,MIO_NAC,IT	1645260.0 	1798448.0 	2109797.0 	2522188.0 	2869028.0 	3213779.0 	3117855.0 	3223973.0 	3600367.0 	3861461.0 	4327479.0 	4779539.0 	4808198.0 	4735581.0 	4976946.0 	5184784.0 	5450460.0 	5846061.0 	5686570.0 	5720573.0 	5795409.0 	5988952.0 	6244714.0 
F,NCO,S12,LIAB,MIO_NAC,LT	3125.5 	3371.2 	4214.9 	5382.3 	5447.2 	6075.5 	7179.9 	8345.5 	10813.8 	13526.1 	20102.1 	26698.1 	35833.2 	37492.7 	35877.1 	35895.2 	36598.5 	36328.4 	35824.4 	41613.6 	44530.1 	51937.4 	59227.6 
F,NCO,S12,LIAB,MIO_NAC,LU	: 	: 	: 	: 	1790516.3 	2086995.9 	2340393.4 	2440966.4 	2881792.3 	3311605.5 	4293637.4 	4981807.5 	5689789.1 	5297824.1 	5656241.1 	6396879.5 	7095835.3 	8174150.8 	9018954.4 	12262295.6 	14386535.5 	15031755.5 	14772832.9 
F,NCO,S12,LIAB,MIO_NAC,LV	1888.0 	2610.0 	3603.0 	3707.0 	4222.0 	5600.0 	6743.0 	8405.0 	10450.0 	14181.1 	19854.9 	29303.5 	40065.0 	43669.8 	39659.1 	39536.4 	37903.6 	39875.6 	41956.1 	46314.6 	51959.0 	54982.0 	58313.0 
F,NCO,S12,LIAB,MIO_NAC,MT	7211.5 e	8411.3 e	9869.5 e	12881.9 e	15843.2 e	17163.7 e	17111.7 e	19828.1 e	22820.3 e	42778.5 	72251.2 	98471.1 	141806.5 	160550.1 	167530.7 	188323.8 	209016.7 	221699.1 	225138.5 	239535.2 	242725.2 	251967.4 	263863.1 
F,NCO,S12,LIAB,MIO_NAC,NL	2029664.0 	2246159.0 	2550166.0 	2923780.0 	3274494.0 	3561429.0 	3779687.0 	3943344.0 	4148284.0 	4442392.0 	5119524.0 	5734144.0 	6547022.0 	6716963.0 	7282428.0 	7635569.0 	8361232.0 	8777345.0 	8735769.0 	9158485.0 	9504297.0 	10072382.0 	10274916.0 p
F,NCO,S12,LIAB,MIO_NAC,PL	187259.0 	247761.0 	327411.6 	449288.9 	545807.8 	596323.9 	675327.2 	685087.2 	793335.0 	919579.0 	1102801.0 	1372840.0 	1625229.0 	1735191.0 	1890637.0 	2148301.0 	2251923.0 	2492477.0 	2676757.0 	2696016.0 	2761300.0 	3011186.0 	3200300.0 
F,NCO,S12,LIAB,MIO_NAC,PT	196173.4 	228996.2 	278618.7 	323067.8 	384210.7 	427217.1 	463549.3 	477517.3 	530321.8 	564477.6 	624601.5 	711036.5 	783594.3 	818444.7 	891105.7 	993723.8 	948903.5 	920876.4 	871566.7 	805980.9 	792830.4 	790304.6 	804285.7 
F,NCO,S12,LIAB,MIO_NAC,RO	8520.5 e	9998.9 e	14343.7 e	18562.3 	25982.6 	34175.7 	52316.3 	74709.3 	95619.1 	155749.7 	228605.3 	309342.6 	418491.8 	476992.4 	553326.4 	581084.6 	607584.9 	634292.4 	639179.4 	647769.3 	674048.7 	720242.3 	778443.8 
F,NCO,S12,LIAB,MIO_NAC,SE	4541274.0 	4884519.0 	5596048.0 	6365826.0 	7079177.0 	8114965.0 	8267547.0 	8384145.0 	9093493.0 	10167032.0 	11933172.0 	13067653.0 	14309023.0 	16028473.0 	16582888.0 	17027972.0 	17500967.0 	18456564.0 	20141197.0 	22758209.0 	23308100.0 	25478532.0 	27222717.0 
F,NCO,S12,LIAB,MIO_NAC,SI	8278.0 	10221.0 	12756.0 	14657.0 	17040.0 	20170.0 	25408.0 	31585.0 	35554.0 	39641.0 	46658.0 	53078.0 	68240.0 	72748.0 	78338.0 	75678.0 	74747.0 	74212.0 	66581.0 	66457.0 	64008.0 	66072.0 	69443.0 
F,NCO,S12,LIAB,MIO_NAC,SK	39768.1 	43089.0 	44905.4 	46173.3 	49099.4 	51185.4 	55878.1 	56042.8 	59684.6 	64232.3 	76072.3 	69848.0 	87819.9 	97052.4 	92500.3 	93992.1 	94316.6 	95021.6 	96677.4 	105042.2 	116429.4 	126278.2 	148886.9 
F,NCO,S12,LIAB,MIO_NAC,UK	3859055.0 	4232315.0 	5010886.0 	5530800.0 	5850473.0 	6690942.0 	7074848.0 	7281454.0 	8222851.0 	10624916.0 	12397159.0 	13763028.0 	16111131.0 	23634014.0 	19617738.0 	21058516.0 	23256276.0 	22434412.0 	20712536.0 	21714700.0 	19860412.0 	22192968.0 	21843028.0 
F,NCO,S121,LIAB,MIO_NAC,AT	24165.4 	26514.6 	27988.8 	27814.3 	33242.6 	33448.2 	28830.9 	29730.9 	31710.6 	36071.2 	50125.7 	55262.4 	63054.0 	84340.5 	70351.3 	81526.7 	101054.9 	110401.5 	99820.5 	94460.0 	107797.5 	123596.8 	145180.3 
F,NCO,S121,LIAB,MIO_NAC,BE	23300.8 	24565.5 	25997.2 	25057.2 	41279.7 	36159.8 	30751.0 	37300.0 	48045.8 	59725.9 	69915.5 	82155.6 	113179.8 	154043.0 	102079.1 	75406.2 	128670.9 	110573.5 	78725.9 	76265.5 	89805.2 	131800.6 	173493.2 
F,NCO,S121,LIAB,MIO_NAC,BG	407.0 	1553.0 	7862.0 	8416.0 	10745.0 	11951.0 	12185.0 	12569.0 	13827.0 	16507.0 	17261.0 	19559.0 	24855.0 	26459.0 	25611.0 	25717.0 	26435.0 	30739.0 	28522.0 	32627.0 	39963.0 	47510.0 	41133.0 
F,NCO,S121,LIAB,MIO_NAC,CY	482.5 	502.4 	604.5 	1375.6 	1182.8 	1254.2 	1651.9 	1828.0 	2156.7 	2372.5 	4742.3 	5928.4 	5537.7 	11527.5 	16053.2 	13398.4 	17170.9 	5951.8 	5313.6 	6966.2 	9905.5 	11502.0 	14350.4 
F,NCO,S121,LIAB,MIO_NAC,CZ	413451.0 	371449.0 	414745.0 	485976.0 	527958.0 	531137.0 	542722.0 	811450.0 	797712.0 	836927.0 	989282.0 	924665.0 	941090.0 	918253.0 	953564.0 	991009.0 	961698.0 	1008245.0 	1181282.0 	1240593.0 	1582030.0 	2140176.0 	: 
F,NCO,S121,LIAB,MIO_NAC,DE	177519.0 	183388.0 	184285.0 	186653.0 	215490.0 	220870.0 	199489.0 	204612.0 	233550.0 	260630.0 	294796.0 	322591.0 	423593.0 	544788.0 	506418.0 	555697.0 	703296.0 	888351.0 	707553.0 	661379.0 	900745.0 	1268018.0 	1604861.0 
F,NCO,S121,LIAB,MIO_NAC,DK	151262.0 	174579.0 	206244.0 	184245.0 	283041.0 	198515.0 	265963.0 	327486.0 	321809.0 	334904.0 	392832.0 	366031.0 	425370.0 	655727.0 	549841.0 	481255.0 	563641.0 	627161.0 	568291.0 	556950.0 	492718.0 	523551.0 	534135.0 
F,NCO,S121,LIAB,MIO_NAC,EE	445.6 	520.1 	689.4 	728.2 	877.6 	1002.6 	949.4 	980.4 	1117.8 	1336.7 	1671.0 	2142.9 	2261.3 	2842.4 	2790.5 	2055.7 	3203.0 	4246.4 	4238.1 	6032.7 	6740.5 	6797.8 	8281.9 
F,NCO,S121,LIAB,MIO_NAC,EL	33621.0 	33054.0 	26150.0 	30108.4 	34544.7 	31587.6 	30461.0 	33936.0 	32772.7 	28692.3 	31336.4 	34210.2 	41776.4 	69774.9 	84615.7 	135490.7 	163878.0 	153652.6 	107038.0 	100211.0 	159654.6 	138303.6 	122059.9 
F,NCO,S121,LIAB,MIO_NAC,ES	85552.0 	92930.0 	96281.0 	97955.0 	114519.0 	115529.0 	93879.0 	97399.0 	108214.0 	112315.0 	126993.0 	140158.0 	177554.0 	211483.0 	219725.0 	204857.0 	357998.0 	552145.0 	383585.0 	361904.0 	447921.0 	580296.0 	695026.0 
F,NCO,S121,LIAB,MIO_NAC,FI	11304.0 	8006.0 	6617.0 	6519.0 	9805.0 	7330.0 	8875.0 	13346.0 	13798.0 	14721.0 	15757.0 	15968.0 	19025.0 	25766.0 	32207.0 	42837.0 	94095.0 	96780.0 	45977.0 	42562.0 	50754.0 	72911.0 	105173.0 
