Country,id,Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234555.37,235585.64,236378.66,237967.16,239807.97,241786.87,244048.58,245916.19,247951.49,248648.65,248801,249155.64,250413.26,250531.31,251662.88,252171.82,253049.95,254503.427,255787.432,256838.711
European Union excluding UK,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205517.67,206423.04,206931.96,208279.66,209877.97,211492.87,213267.58,214913.19,216566.49,217125.65,217115,217222.64,218185.26,218052.31,218914.88,219144.82,219724.95,220997.427,222080.629,222930.328
European Union (15 countries),NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173930.46,175164.94,176543.6,178545.13,180612.55,182831.8,183906.03,186184.38,188144.28,189945.63,191819.95,193954.36,195776.52,197651.99,198172.86,198471.32,199013.99,200673,200792.63,201700.36,202320.99,203471.7,204700.98,205891.116,206884.576
Euro area,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148199.61,150213,151904.84,153933.87,154736.59,156694.25,158438.69,159987.77,161429.68,163012.47,164543.31,166050.79,166406.56,166486.43,166633.19,168001.69,167813.16,168365.79,168658.11,169469.69,170395.197,171307.73,172049.88
Euro area (12 countries),NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138462.06,139583.44,140826.8,142730.73,144412.65,146429.3,147215.23,149186.48,150888.28,152436.83,153912.65,155468.86,156950.32,158370.29,158752.76,158871.62,159096.69,160435.9,160263.93,160822.06,161093.79,161846.6,162759.18,163648.827,164358.73
Belgium,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4108.167,4123.337,4059.104,4064.108,4057.283,4077.849,4092.309,4124.306,4128.325,4140.764,4153.847,4178.555,4220.391,4257.912,4337.1,4340.4,4356.5,4435.4,4457.4,4474.4,4516.5,4554.7,4585.6,4645.4,4718.7,4761.3,4804,4863.9,4903.6,4959.1,4961.3,5003.6,5035.9,5060.9,5099.7,5125.4,5155,5182.788,5210.786
Bulgaria,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3861.37,3943.87,3920.71,3830.31,3720.04,3799.98,3883.73,3836.11,3770.39,3807.39,3833.26,3921.04,3968.74,4016.65,3989.3,3955.89,3900.55,3846.39,3857.58,3819.17,3751.21,3710.35,3732.33,3743.516,3747.265
Czech Republic,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5213.87,5256.578,5253.7,5257.39,5281.31,5297.44,5317.96,5283.07,5237.93,5227.96,5221.25,5215.64,5266.56,5288.35,5281.23,5303.97,5348.69,5370.67,5343.33,5378.82,5406.56,5418.54,5435.11,5444.78,5466.61,5474.882,5482.032
Denmark,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,2361.7,2359.9,2379,2417.7,2439,2443.3,2486,2510.8,2546.9,2549.7,2621.1,2636.6,2676.8,2658.7,2654.4,2692.4,2719.9,2726.7,2754.5,2782,2800.7,2821.8,2829.1,2856.3,2851.7,2848.8,2851.2,2838.9,2828.2,2819.9,2832.8,2833.6,2860.4,2884.3,2877.4,2910.8,2912.9,2911.7,2900.6,2904.7,2938.8,2985,2999,2990.1,2965,2968.4,2949,2934,2947,2976,3024,3056,3085.422,3102.84
Germany,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41023,40879,40836,41086,41090,41361,41625,41997,42293,42906,42726,42874,42885,43345,43726,43663,43732,43823,43943,43804,43933,44230,44439,44698,44940,45318,45810,46176.907,46414.74
West Germany,NLTN,1000 persons,26456.874,26750.022,26822.722,26903.577,26912.486,27020.422,26960.635,26338.373,26252.191,26539.084,26826.7,26969.8,27166.8,27486.3,27494.9,27208.5,27096.6,27127.5,27366.2,27775,28232.3,28608.1,28888.3,28999.9,29307.7,29733.4,30097.1,30438.7,30852.8,31223.7,31870.3,32288.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estonia,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749.9,732.8,703.8,689.9,685.5,669.9,656.9,688.2,680,666.8,675.1,672.3,671.5,693.6,691,696.1,689.1,684.2,690.5,686.7,683.1,677.7,685.4,694.3,701.1,705.343,709.197
Ireland,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1504.94,1550.22,1582.41,1647.3,1723.05,1778.8,1828.58,1868.08,1905.05,1967.43,2061.3,2158.88,2258.71,2288.43,2252.68,2210.5,2215.57,2205.66,2217.52,2208.38,2215.47,2240.5,2244.92,2262.932,2290.123
Greece,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4542.14,4543.56,4537.12,4798.87,4846.39,4829.49,4815.98,4914.39,4955.48,5124.09,5139.87,5179.34,5213.07,5244.36,5314,5344.48,5263.82,5300.22,5327.71,5308.84,5261.04,5214.03,5196.49,5191.339,5180.907
Spain,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17106,17215.9,17552.3,17907.6,18181.5,18744.2,19117.2,19837.3,20532.2,21181.1,21700,22433.6,23120.8,23924.9,24150.1,24295.9,24141.3,24182.82,23962.19,23697.35,23625.25,23524.81,23452.23,23487.951,23557.37
France,NLTN,1000 persons,20114.802,20069.834,20084.862,20285.935,20444.28,20568.409,20739.537,20896.891,20938.067,21159.755,21437.426,21570.556,21690.09,21936.833,22125.074,22185.165,22423.821,22701.282,23201.987,23504.226,23685.381,23909.891,24119.542,24290.236,24463.86,24495.506,24664.205,24869.526,24967.664,25279.716,25881,26015,26118,26163,26400,26600,26862,27099,27447,27991,28278,28451,28634,28806,28964,29171,29475,29648,29638,29842,29937,30141,30425,30674,30813,30905,31012,31112,31197.784,31296.844
Croatia,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1849.01,1837.89,1842.4,1862.38,1875.92,1878.54,1904.26,1932.67,1945.87,1946.55,1923.97,1890.51,1867.51,1853.99,1900,1898.59,1844.19,1837.4,1836.02,1842.513
Italy,NLTN,1000 persons,21186.761,21140.367,20787.389,20332.511,20308.357,20175.011,19939.903,20088.688,20120.882,20196.949,20189.02,20165.904,20235.143,20632.647,20844.814,20982.78,21454.64,21785.487,21900.522,22345.049,22745.949,22819.843,23076.889,22964.572,23039.704,23318.426,23638.596,23864.301,24146.781,24281.193,24460.33,24824.543,24768.489,24332.66,24107.052,24107.4,24301.1,24361.4,24583.4,24738.1,24963,25060.2,25591,26202.2,26183.8,26173.3,26342.9,26453,26680.7,26476.3,26462.8,26519.1,27075.7,26645.9,27084.2,27035.7,27330.7,27505.7,27671.813,27758.867
Cyprus,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.72,322.82,329.54,332.56,337.37,343.1,356.9,372.41,388.26,393.05,407.57,421.31,428.44,434.27,442.18,446.85,440.41,434.48,432.77,435.92,441.75,443.432,446.495
Latvia,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364.385,1354.205,1286.925,1245.474,1201.379,1098.86,1117.53,1161.17,1139.15,1119.69,1087.46,1094.39,1096.15,1093.17,1096.77,1087.07,1114.9,1135.18,1145.37,1103.28,1059.04,1030.69,1033.76,1017.31,996.18,1000.13,994.95,986.94,985.082,980.184
Lithuania,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1591.28,1621.73,1610.75,1721.4,1710.49,1676.75,1640.9,1634.93,1646.98,1598.33,1567.75,1519.24,1518.24,1517.02,1529.32,1517.76,1481.6,1473,1465.17,1477.3,1469.67,1478.11,1458.72,1448.57,1443.024
Luxembourg,NLTN,1000 persons,129.227,130.642,131.046,130.541,132.865,134.077,134.784,133.269,132.764,134.683,137.512,141.554,145.393,147.717,150.344,152.665,152.866,152.964,153.357,156.47,156.167,156.672,156.369,157.364,157.571,157.371,158.578,160.585,161.692,163.6,165.809,168.017,169.52,170.119,172.725,173.53,175.27,177.56,181.23,184.6,188.95,193.63,197.83,202.32,206.44,207.32,211.36,215.34,223.05,226.67,228.93,235.15,242.63,249.22,255.63,262.67,268.25,273.12,280.346,287.181
Hungary,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4013.86,4000.03,3968.29,4045.62,4088.33,4112.17,4096.28,4099.63,4161.87,4152.89,4203.7,4245.14,4213.97,4174.31,4165.83,4201.38,4225.02,4300.21,4333.76,4443.84,4518.5,4586.64,4613.38,4622.592,4627.206
Malta,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.909,143.478,146.135,148.143,148.735,152.16,155.12,157.11,156.91,158.89,156.8,161.18,160.39,161.22,160.87,162.26,164.71,167.75,171.24,173,175.99,179.62,183.83,191.28,199.51,206.93,212.82,222.76,231.45,239.531
Netherlands,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6418.645,6563.481,6666.882,6447.819,6482.791,6551.744,6657.843,6791.299,6911.702,7043.568,7217.621,7330.704,7437.729,7527.913,7637.166,7893,7999,8148,8230,8384,8486,8587,8685,8723,8689,8764,8868,9012,9095,9090,9084,9151,9215,9247,9253,9287,9301,9387,9466.803,9555.803
Austria,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3759.39,3790.7,3813.73,3850.98,3880.78,3909.78,3936.54,3949.1,3991.93,4036.83,4087.55,4143.57,4200.65,4245.69,4274,4277.73,4321.05,4367.08,4387.13,4423.71,4453,4519.82,4554.88,4604.443,4650.361
Poland,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17540.7,17350.8,17156.6,17070.2,17209.6,17025.7,17085.5,17057.4,17305,17374,17205,16925,17004,17134,16905,16819,16965,17227,17123,17222,17340,17361,17429,17388,17260,17267,17266.971,17284.236
Portugal,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4913.06,4998.59,5104.88,5172.05,5222.53,5319.28,5413.2,5486.88,5504.5,5491.34,5533.31,5573.01,5602.45,5608.46,5558.41,5559.08,5490.2,5443.59,5339.76,5279.55,5252.86,5244.69,5294.74,5331.806,5347.831
Romania,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13114.52,12327.12,12262.9,11936.7,11910.05,11869.77,11728.42,10475.41,10331.58,10255.56,10133.83,10286.82,10331.07,10213.2,10144.62,10139.96,10023.74,9441.54,9376.56,9408.24,9295.1,9109.2,9249.71,9293.432,9279.732
Slovenia,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,988.65,968.97,954.28,958.54,970.6,979.12,979.84,995.45,995.49,999.91,997.04,1003.71,1022.97,1041.71,1043.86,1040.05,1033.6,1034.69,1036.71,1036.51,1031.42,1047.87,1070.077,1082.067,1095.991
Slovakia,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2438.18,2493.88,2485.28,2513.55,2546.08,2583.68,2627.68,2610.95,2621.55,2650.35,2643.15,2654.4,2650.28,2687.75,2686.8,2703.5,2678.31,2706.96,2715.25,2722.05,2738,2759.12,2754.67,2762.958,2776.727
Finland,NLTN,1000 persons,2222.743,2258.147,2251.26,2264.227,2263.698,2287.512,2294.147,2280.947,2273.34,2282.376,2312.354,2303.602,2331.137,2368.104,2365.58,2369.818,2390.181,2398.505,2412.965,2433.908,2471.4,2507.5,2549,2561.5,2569.5,2566.5,2566.6,2568.9,2577.7,2573.1,2562.2,2509.3,2468.4,2450.9,2426,2435.5,2445.7,2468.9,2479.9,2510.3,2551.4,2569.4,2594.2,2595,2602.4,2630.3,2658.9,2690.3,2734.8,2722,2708.1,2724.2,2744.6,2738.6,2739.5,2756.1,2747.4,2773.1,2793.914,2807.916
Sweden,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4431.1,4415.6,4451.9,4464.3,4433.5,4420.3,4452.9,4487.4,4617.4,4638.3,4656.8,4678.2,4708.6,4765.7,4838.2,4897.7,4907,4948.7,5015.9,5060.1,5115.7,5183.3,5224.2,5276.1,5379.8,5450.063,5514.623
United Kingdom,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28156.1,28139.6,28196.6,28284.4,28449.7,28533.7,28862.7,29037.7,29162.6,29446.7,29687.5,29930,30294,30781,31003,31385,31523,31686,31933,32228,32479,32748,33027,33325,33506,33706.804,33908.384
Macedonia FYR,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,854.51,843.24,862.02,915.18,869.23,911.38,935.88,949.8,993.36,1011.98,987.78,992.09,997.88,1022.04,1031.31,NA,NA,NA,NA,NA
Iceland,NLTN,1000 persons,NA,NA,NA,74.024,79.782,83.433,85.555,85.609,87.675,90.398,91.681,95.084,97.306,99.956,103.32,105.302,109.08,108.882,112.421,113.559,117.093,122.755,127.312,128.672,131.075,135.033,138.578,146.142,142.264,142.625,141.862,140.983,143.583,144.782,145.885,149.497,147.898,148.298,152.614,156.929,160.538,163.245,162.539,162.739,161.437,166.052,175.075,181.896,184.6,181.1,181.1,180.1,180.1,184.9,187,191.7,196.6,200.05,206.814,209.392
Turkey,NLTN,1000 persons,12666.6,12798,12883.1,13043.1,13185.7,13258,13400.5,13498.8,13614.1,13717.3,13622.1,13894.1,14249.3,14568.6,15020.4,15233.4,15615.7,16249.3,16484.1,16578.5,16713.4,16733.4,16897.5,17158.8,17411.9,17642.8,18078.1,18550.3,18847.7,19372.7,19619.9,20428.9,20642.1,19668.2,21205.3,21641.9,22101.9,22129.5,22761.8,23178.9,22772.3,23098.5,23459.8,23324,21771,22123,22406,22777,23487,24366,25333,26443,27024,27973,28791,29674,30535,31701.804,32571.318,33457.015
Montenegro,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256.86,252.75,263.402,264.125,263.575,260.7,244.1,250.4,250.75,263.75,268.875,272.5,273.175,277.294,280.202
Serbia,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3519.245,3538.275,3459.818,3418.914,3596.282,3453.293,3323.715,3241.208,3267.106,3119.419,2964.967,2924.352,2929.481,2966.838,3167.6,3126.1,3208.8,3233.65,3240.62,3234.874
Norway,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1653.2,1667.4,1702.7,1713.1,1733.4,1777.4,1828,1872.9,1911.2,1941.4,1981.8,2015.3,2028.6,2040,2049.8,2093.5,2149.4,2195.3,2207.5,2181.9,2170.9,2153.9,2160.1,2176,2193.4,2227.8,2269.3,2315.5,2356.8,2376.8,2396.2,2408.8,2424.2,2409.2,2426,2462.6,2517.5,2598.5,2683,2687,2684,2717,2769,2808,2842,2878,2896,2910,2919.968,2933.286
Switzerland,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3772.86,3807.655,3834.187,3806.39,3813.979,3859.097,3864.747,3906.606,3913.895,3919.937,3967.137,4021.607,4064.948,4073.853,4090.72,4152.317,4208.915,4306.532,4388.706,4411.15,4481.744,4544.282,4597.722,4684.485,4757.651,4831.268,4894.946,4916.617,4934.713
United States,NLTN,1000 persons,72855.51,73674.89,73908.88,74188.6,75649.41,77303.11,79808.83,81642.14,83395.75,85446.8,86909.9,88151.9,90440.1,92742.2,95148.7,96934.8,99156.6,101991.8,105206.3,107803.4,109817,111663,113319.1,114679,116716.3,118682.8,121096.9,123167.9,124941.7,127125.8,129045,129491,131085,131999,133705,134848,136390,138673,139995,141658,144867,146023,147185,148858,149718,151571,153679,155372,156567,156447,156211,155930,157256,157644,158129,159297,161337,162491.539,164031.353,164629.573
Japan,NLTN,1000 persons,48425.399,48960.395,49544.03,49968.101,50523.416,51386.736,52491.041,53502.286,54341.787,54702.017,55288.091,55730.544,56124.794,57340.327,57154.021,57288.32,57814.049,58509.193,59197.726,59751.743,60110.493,60687.766,61306.623,62359.912,62616.059,62902.633,63319.52,63627.056,64168.193,64956.763,65938.729,67274.078,68077.842,68564.319,68903.8,69313.2,69531,70066.7,69778.2,69260.2,68806.7,68766.7,68194.5,68144.3,68145.8,68472.7,68739.8,69080.3,69069,68999,68841,68474,68025,68217,68314,68398,68874.475,69162.05,69508.735,69791.773
Canada,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8829.971,9076.09,9340.637,9732.402,10108.688,10450.573,10650.28,10960.323,11337.453,11732.534,12096.549,12304.883,12361.235,12582.514,12807.658,13104.709,13351.065,13575.663,13807.655,14078.974,14243.506,14336.887,14347.02,14459.375,14593.931,14698.982,14847.87,15055.027,15270.664,15543.311,15797.175,16056.576,16505.945,16879.578,17083.55,17218.605,17410.336,17718.209,17931.814,18024.13,18239.719,18394.1,18551.014,18740.766,18831.698,19016.846,19178.728,NA,NA,NA
Korea,NLTN,1000 persons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10087.564,10433.484,10892.92,11414.679,11927.518,12220.781,12939.667,13344.954,13874.105,14173.022,14473.971,14720.916,15070.571,15153.216,15029.63,15627.733,16151.101,16902.816,17328.99,18049.598,18565.081,19136.484,19527.15,19837.803,20380.954,20868.703,21312.99,21814.63,21513.597,21743.934,22121.45,22465.544,22917.673,22960.331,23417.017,23742.925,23978.35,24215.675,24346.692,24394.2,24748.492,25098.95,25500.542,25873.542,26535.9,26911.772,NA,NA,NA,NA
Australia,NLTN,1000 persons,4209.983,4273.448,4370.02,4474.651,4662.076,4807.766,5036.248,5164.115,5286.363,5414.844,5629.409,5766.666,5913.455,6039.489,6143.125,6276.171,6348.601,6517.245,6568.401,6654.281,6849.971,6968.041,7050.627,7172.478,7280,7452.445,7632.738,7848,8113.512,8330.339,8288.518,8444.021,8538.024,8791.655,9015.55,9054.829,9101.738,9246.023,9314.635,9504.993,9601.383,9786.438,10005.076,10125.675,10395.806,10605.646,10920.495,11167.914,11261.263,11593.668,11802.166,11990.311,12110.433,12232.602,12513.584,12729.433,12890.525,13133.6,13313.795,13472.586
New Zealand,NLTN,1000 persons,1035.517,1048.402,1068.156,1089.241,1122.04,1160.696,1201.855,1233.323,1220.488,1242.374,1276.665,1294.075,1311.166,1352.645,1411.375,1437.997,1463.608,1485.865,1494.856,1518.815,1521.689,1537.549,1562.148,1575.075,1592.646,1629.499,1660.166,1675.319,1648.231,1630.982,1621.359,1674.637,1626.238,1629.647,1678.513,1718.936,1778.005,1792.429,1847.949,1885.903,1866.64,1907.244,1959.511,2001.585,2052.398,2138.148,2185.249,2205.496,2275.698,2274,2310,2339,2340,2387,2453,2497.387,2605.956,2703.379,2766.117,2807.431
European Union,OKND,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28326.82,28889.28,29461.78,30115.6,30822.92,31579.25,32293.13,32937.7,33573.2,34235.61,34940.2,35743.29,36649.68,37497.46,37966.13,38404,38858.84,39221.6,39519.89,39865.8,40251.96,40689.74,41179.01,41761.02,42406.67
European Union excluding UK,OKND,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24277.45,24750.15,25245.87,25809.83,26430.03,27094.48,27728.82,28293.02,28848.26,29430.52,30045.51,30757.15,31559.56,32314.24,32733.58,33114.56,33510.89,33811.33,34042.32,34305.78,34604.56,34954.37,35346.86,35828.84,36375.05
European Union (15 countries),OKND,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24875.12,25494.8,25982.14,26480.54,27002.96,27538.55,28074.61,28686.31,29354,30067.84,30741.75,31349.46,31945.59,32559.94,33203.47,33928.83,34723.77,35447.87,35842.59,36216.7,36600.77,36900.21,37143.04,37426.21,37737.59,38120.01,38547.12,39050.28,39605.75
Euro area,OKND,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21704.2,22134.35,22579.25,23084.98,23646.76,24244.83,24819.14,25331.3,25832.24,26350.19,26887.25,27497.85,28166.33,28777.95,29109.01,29409.7,29717.37,29933.69,30086.62,30259.19,30452.47,30707.01,30994.15,31353.93,31767.32
Euro area (12 countries),OKND,Mrd ECU/EUR- Standard aggregation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19737.44,20258.7,20659.73,21066.67,21492.08,21916.08,22352.48,22847.81,23401.37,23992.47,24557.76,25060.83,25552.23,26058.75,26580.81,27171.93,27816.16,28405.81,28730.12,29025.85,29326.05,29537.84,29687.23,29856.97,30043.65,30293.86,30574.34,30924.2,31325.28
EU15 (including D_W West-Germany),OKND,Mrd ECU/EUR- Standard aggregation,8634.55,8978.83,9341.71,9717.06,10138.37,10568.16,11014.61,11472.6,11970.52,12512.77,13095.32,13696.37,14321.53,14981.1,15586.54,16101.61,16611.29,17117.12,17628.05,18165.7,18705.14,19169.78,19590.14,19992.49,20391.74,20805.85,21244.62,21731.47,22310.26,22965.5,23645.76,24275.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EA12 (including D_W West-Germany),OKND,Mrd ECU/EUR- Standard aggregation,6445,6729.06,7031.56,7344.08,7685.77,8032.5,8396.18,8762.67,9157.23,9595.72,10066.08,10552.99,11061.24,11601,12104.02,12536.97,12967.29,13398.05,13828.66,14275.75,14738.56,15145.93,15503.79,15836.1,16149.3,16467.44,16807.66,17174.71,17609.02,18098.64,18625.84,19137.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
