unit,sex,age,incgrp,geotime,date,value
PC,T,TOTAL,A_MD60,AT,2006-01-01,12
PC,T,TOTAL,A_MD60,AT,2007-01-01,13
PC,T,TOTAL,A_MD60,AT,2008-01-01,12
PC,T,TOTAL,A_MD60,AT,2009-01-01,12
PC,T,TOTAL,A_MD60,AT,2010-01-01,12
PC,T,TOTAL,A_MD60,AT,2011-01-01,13
PC,T,TOTAL,A_MD60,AT,2012-01-01,12
PC,T,TOTAL,A_MD60,AT,2013-01-01,
PC,T,TOTAL,A_MD60,AT,2014-01-01,12
PC,T,TOTAL,A_MD60,AT,2015-01-01,
PC,T,TOTAL,A_MD60,AT,2016-01-01,12
PC,T,TOTAL,A_MD60,AT,2017-01-01,11
PC,T,TOTAL,A_MD60,BE,2006-01-01,15
PC,T,TOTAL,A_MD60,BE,2007-01-01,14
PC,T,TOTAL,A_MD60,BE,2008-01-01,16
PC,T,TOTAL,A_MD60,BE,2009-01-01,14
PC,T,TOTAL,A_MD60,BE,2010-01-01,14
PC,T,TOTAL,A_MD60,BE,2011-01-01,14
PC,T,TOTAL,A_MD60,BE,2012-01-01,15
PC,T,TOTAL,A_MD60,BE,2013-01-01,
PC,T,TOTAL,A_MD60,BE,2014-01-01,14
PC,T,TOTAL,A_MD60,BE,2015-01-01,
PC,T,TOTAL,A_MD60,BE,2016-01-01,12
PC,T,TOTAL,A_MD60,BE,2017-01-01,12
PC,T,TOTAL,A_MD60,BG,2006-01-01,20
PC,T,TOTAL,A_MD60,BG,2007-01-01,20
PC,T,TOTAL,A_MD60,BG,2008-01-01,16
PC,T,TOTAL,A_MD60,BG,2009-01-01,13
PC,T,TOTAL,A_MD60,BG,2010-01-01,13
PC,T,TOTAL,A_MD60,BG,2011-01-01,15
PC,T,TOTAL,A_MD60,BG,2012-01-01,17
PC,T,TOTAL,A_MD60,BG,2013-01-01,
PC,T,TOTAL,A_MD60,BG,2014-01-01,16
PC,T,TOTAL,A_MD60,BG,2015-01-01,
PC,T,TOTAL,A_MD60,BG,2016-01-01,19
PC,T,TOTAL,A_MD60,BG,2017-01-01,18
PC,T,TOTAL,A_MD60,CH,2006-01-01,
PC,T,TOTAL,A_MD60,CH,2007-01-01,
PC,T,TOTAL,A_MD60,CH,2008-01-01,
PC,T,TOTAL,A_MD60,CH,2009-01-01,20
PC,T,TOTAL,A_MD60,CH,2010-01-01,21
PC,T,TOTAL,A_MD60,CH,2011-01-01,20
PC,T,TOTAL,A_MD60,CH,2012-01-01,19
PC,T,TOTAL,A_MD60,CH,2013-01-01,
PC,T,TOTAL,A_MD60,CH,2014-01-01,19
PC,T,TOTAL,A_MD60,CH,2015-01-01,
PC,T,TOTAL,A_MD60,CH,2016-01-01,19
PC,T,TOTAL,A_MD60,CH,2017-01-01,
PC,T,TOTAL,A_MD60,CY,2006-01-01,8
PC,T,TOTAL,A_MD60,CY,2007-01-01,7
PC,T,TOTAL,A_MD60,CY,2008-01-01,7
PC,T,TOTAL,A_MD60,CY,2009-01-01,6
PC,T,TOTAL,A_MD60,CY,2010-01-01,6
PC,T,TOTAL,A_MD60,CY,2011-01-01,6
PC,T,TOTAL,A_MD60,CY,2012-01-01,7
PC,T,TOTAL,A_MD60,CY,2013-01-01,
PC,T,TOTAL,A_MD60,CY,2014-01-01,8
PC,T,TOTAL,A_MD60,CY,2015-01-01,
PC,T,TOTAL,A_MD60,CY,2016-01-01,7
PC,T,TOTAL,A_MD60,CY,2017-01-01,7
PC,T,TOTAL,A_MD60,CZ,2006-01-01,19
PC,T,TOTAL,A_MD60,CZ,2007-01-01,19
PC,T,TOTAL,A_MD60,CZ,2008-01-01,18
PC,T,TOTAL,A_MD60,CZ,2009-01-01,17
PC,T,TOTAL,A_MD60,CZ,2010-01-01,18
PC,T,TOTAL,A_MD60,CZ,2011-01-01,17
PC,T,TOTAL,A_MD60,CZ,2012-01-01,18
PC,T,TOTAL,A_MD60,CZ,2013-01-01,
PC,T,TOTAL,A_MD60,CZ,2014-01-01,19
PC,T,TOTAL,A_MD60,CZ,2015-01-01,
PC,T,TOTAL,A_MD60,CZ,2016-01-01,17
PC,T,TOTAL,A_MD60,CZ,2017-01-01,16
PC,T,TOTAL,A_MD60,DE,2006-01-01,
PC,T,TOTAL,A_MD60,DE,2007-01-01,
PC,T,TOTAL,A_MD60,DE,2008-01-01,
PC,T,TOTAL,A_MD60,DE,2009-01-01,
PC,T,TOTAL,A_MD60,DE,2010-01-01,20
PC,T,TOTAL,A_MD60,DE,2011-01-01,21
PC,T,TOTAL,A_MD60,DE,2012-01-01,20
PC,T,TOTAL,A_MD60,DE,2013-01-01,
PC,T,TOTAL,A_MD60,DE,2014-01-01,19
PC,T,TOTAL,A_MD60,DE,2015-01-01,
PC,T,TOTAL,A_MD60,DE,2016-01-01,19
PC,T,TOTAL,A_MD60,DE,2017-01-01,19
PC,T,TOTAL,A_MD60,DK,2006-01-01,23
PC,T,TOTAL,A_MD60,DK,2007-01-01,23
PC,T,TOTAL,A_MD60,DK,2008-01-01,25
PC,T,TOTAL,A_MD60,DK,2009-01-01,28
PC,T,TOTAL,A_MD60,DK,2010-01-01,27
PC,T,TOTAL,A_MD60,DK,2011-01-01,25
PC,T,TOTAL,A_MD60,DK,2012-01-01,23
PC,T,TOTAL,A_MD60,DK,2013-01-01,
PC,T,TOTAL,A_MD60,DK,2014-01-01,21
PC,T,TOTAL,A_MD60,DK,2015-01-01,
PC,T,TOTAL,A_MD60,DK,2016-01-01,19
PC,T,TOTAL,A_MD60,DK,2017-01-01,20
PC,T,TOTAL,A_MD60,EA18,2006-01-01,13
PC,T,TOTAL,A_MD60,EA18,2007-01-01,12
PC,T,TOTAL,A_MD60,EA18,2008-01-01,12
PC,T,TOTAL,A_MD60,EA18,2009-01-01,12
PC,T,TOTAL,A_MD60,EA18,2010-01-01,14
PC,T,TOTAL,A_MD60,EA18,2011-01-01,14
PC,T,TOTAL,A_MD60,EA18,2012-01-01,14
PC,T,TOTAL,A_MD60,EA18,2013-01-01,
PC,T,TOTAL,A_MD60,EA18,2014-01-01,14
PC,T,TOTAL,A_MD60,EA18,2015-01-01,
PC,T,TOTAL,A_MD60,EA18,2016-01-01,13
PC,T,TOTAL,A_MD60,EA18,2017-01-01,13
PC,T,TOTAL,A_MD60,EA19,2006-01-01,13
PC,T,TOTAL,A_MD60,EA19,2007-01-01,12
PC,T,TOTAL,A_MD60,EA19,2008-01-01,12
PC,T,TOTAL,A_MD60,EA19,2009-01-01,12
PC,T,TOTAL,A_MD60,EA19,2010-01-01,14
PC,T,TOTAL,A_MD60,EA19,2011-01-01,14
PC,T,TOTAL,A_MD60,EA19,2012-01-01,14
PC,T,TOTAL,A_MD60,EA19,2013-01-01,
PC,T,TOTAL,A_MD60,EA19,2014-01-01,14
PC,T,TOTAL,A_MD60,EA19,2015-01-01,
PC,T,TOTAL,A_MD60,EA19,2016-01-01,13
PC,T,TOTAL,A_MD60,EA19,2017-01-01,13
PC,T,TOTAL,A_MD60,EE,2006-01-01,12
PC,T,TOTAL,A_MD60,EE,2007-01-01,10
PC,T,TOTAL,A_MD60,EE,2008-01-01,10
PC,T,TOTAL,A_MD60,EE,2009-01-01,10
PC,T,TOTAL,A_MD60,EE,2010-01-01,12
PC,T,TOTAL,A_MD60,EE,2011-01-01,12
PC,T,TOTAL,A_MD60,EE,2012-01-01,13
PC,T,TOTAL,A_MD60,EE,2013-01-01,
PC,T,TOTAL,A_MD60,EE,2014-01-01,11
PC,T,TOTAL,A_MD60,EE,2015-01-01,
PC,T,TOTAL,A_MD60,EE,2016-01-01,9
PC,T,TOTAL,A_MD60,EE,2017-01-01,9
PC,T,TOTAL,A_MD60,EL,2006-01-01,21
PC,T,TOTAL,A_MD60,EL,2007-01-01,19
PC,T,TOTAL,A_MD60,EL,2008-01-01,21
PC,T,TOTAL,A_MD60,EL,2009-01-01,20
PC,T,TOTAL,A_MD60,EL,2010-01-01,21
PC,T,TOTAL,A_MD60,EL,2011-01-01,23
PC,T,TOTAL,A_MD60,EL,2012-01-01,26
PC,T,TOTAL,A_MD60,EL,2013-01-01,
PC,T,TOTAL,A_MD60,EL,2014-01-01,31
PC,T,TOTAL,A_MD60,EL,2015-01-01,
PC,T,TOTAL,A_MD60,EL,2016-01-01,28
PC,T,TOTAL,A_MD60,EL,2017-01-01,28
PC,T,TOTAL,A_MD60,ES,2006-01-01,8
PC,T,TOTAL,A_MD60,ES,2007-01-01,9
PC,T,TOTAL,A_MD60,ES,2008-01-01,8
PC,T,TOTAL,A_MD60,ES,2009-01-01,9
PC,T,TOTAL,A_MD60,ES,2010-01-01,9
PC,T,TOTAL,A_MD60,ES,2011-01-01,9
PC,T,TOTAL,A_MD60,ES,2012-01-01,10
PC,T,TOTAL,A_MD60,ES,2013-01-01,
PC,T,TOTAL,A_MD60,ES,2014-01-01,10
PC,T,TOTAL,A_MD60,ES,2015-01-01,
PC,T,TOTAL,A_MD60,ES,2016-01-01,10
PC,T,TOTAL,A_MD60,ES,2017-01-01,9
PC,T,TOTAL,A_MD60,EU27,2006-01-01,15
PC,T,TOTAL,A_MD60,EU27,2007-01-01,15
PC,T,TOTAL,A_MD60,EU27,2008-01-01,14
PC,T,TOTAL,A_MD60,EU27,2009-01-01,14
PC,T,TOTAL,A_MD60,EU27,2010-01-01,15
PC,T,TOTAL,A_MD60,EU27,2011-01-01,15
PC,T,TOTAL,A_MD60,EU27,2012-01-01,15
PC,T,TOTAL,A_MD60,EU27,2013-01-01,
PC,T,TOTAL,A_MD60,EU27,2014-01-01,15
PC,T,TOTAL,A_MD60,EU27,2015-01-01,
PC,T,TOTAL,A_MD60,EU27,2016-01-01,14
PC,T,TOTAL,A_MD60,EU27,2017-01-01,13
PC,T,TOTAL,A_MD60,EU28,2006-01-01,
PC,T,TOTAL,A_MD60,EU28,2007-01-01,
PC,T,TOTAL,A_MD60,EU28,2008-01-01,
PC,T,TOTAL,A_MD60,EU28,2009-01-01,
PC,T,TOTAL,A_MD60,EU28,2010-01-01,15
PC,T,TOTAL,A_MD60,EU28,2011-01-01,15
PC,T,TOTAL,A_MD60,EU28,2012-01-01,15
PC,T,TOTAL,A_MD60,EU28,2013-01-01,
PC,T,TOTAL,A_MD60,EU28,2014-01-01,15
PC,T,TOTAL,A_MD60,EU28,2015-01-01,
PC,T,TOTAL,A_MD60,EU28,2016-01-01,14
PC,T,TOTAL,A_MD60,EU28,2017-01-01,13
PC,T,TOTAL,A_MD60,FI,2006-01-01,10
PC,T,TOTAL,A_MD60,FI,2007-01-01,11
PC,T,TOTAL,A_MD60,FI,2008-01-01,12
PC,T,TOTAL,A_MD60,FI,2009-01-01,12
PC,T,TOTAL,A_MD60,FI,2010-01-01,11
PC,T,TOTAL,A_MD60,FI,2011-01-01,11
PC,T,TOTAL,A_MD60,FI,2012-01-01,11
PC,T,TOTAL,A_MD60,FI,2013-01-01,
PC,T,TOTAL,A_MD60,FI,2014-01-01,11
PC,T,TOTAL,A_MD60,FI,2015-01-01,
PC,T,TOTAL,A_MD60,FI,2016-01-01,11
PC,T,TOTAL,A_MD60,FI,2017-01-01,11
