unit,indic_il,sex,age,geo\time,date,value
PC,LI_R_MD60,T,TOTAL,AT,2006-01-01,12.6 
PC,LI_R_MD60,T,TOTAL,AT,2007-01-01,12.0 
PC,LI_R_MD60,T,TOTAL,AT,2008-01-01,15.2 
PC,LI_R_MD60,T,TOTAL,AT,2009-01-01,14.5 
PC,LI_R_MD60,T,TOTAL,AT,2010-01-01,14.7 
PC,LI_R_MD60,T,TOTAL,AT,2011-01-01,14.5 
PC,LI_R_MD60,T,TOTAL,AT,2012-01-01,14.4 
PC,LI_R_MD60,T,TOTAL,AT,2013-01-01,14.4
PC,LI_R_MD60,T,TOTAL,AT,2014-01-01,14.1
PC,LI_R_MD60,T,TOTAL,AT,2015-01-01,13.9
PC,LI_R_MD60,T,TOTAL,AT,2016-01-01,14.1 
PC,LI_R_MD60,T,TOTAL,AT,2017-01-01,14.4 
PC,LI_R_MD60,T,TOTAL,BE,2006-01-01,14.7 
PC,LI_R_MD60,T,TOTAL,BE,2007-01-01,15.2 
PC,LI_R_MD60,T,TOTAL,BE,2008-01-01,14.7 
PC,LI_R_MD60,T,TOTAL,BE,2009-01-01,14.6 
PC,LI_R_MD60,T,TOTAL,BE,2010-01-01,14.6 
PC,LI_R_MD60,T,TOTAL,BE,2011-01-01,15.3 
PC,LI_R_MD60,T,TOTAL,BE,2012-01-01,15.3 
PC,LI_R_MD60,T,TOTAL,BE,2013-01-01,15.1
PC,LI_R_MD60,T,TOTAL,BE,2014-01-01,15.5
PC,LI_R_MD60,T,TOTAL,BE,2015-01-01,14.9
PC,LI_R_MD60,T,TOTAL,BE,2016-01-01,15.5 
PC,LI_R_MD60,T,TOTAL,BE,2017-01-01,15.9 
PC,LI_R_MD60,T,TOTAL,BG,2006-01-01,18.4 
PC,LI_R_MD60,T,TOTAL,BG,2007-01-01,22.0 
PC,LI_R_MD60,T,TOTAL,BG,2008-01-01,21.4 
PC,LI_R_MD60,T,TOTAL,BG,2009-01-01,21.8 
PC,LI_R_MD60,T,TOTAL,BG,2010-01-01,20.7 
PC,LI_R_MD60,T,TOTAL,BG,2011-01-01,22.2 
PC,LI_R_MD60,T,TOTAL,BG,2012-01-01,21.2 
PC,LI_R_MD60,T,TOTAL,BG,2013-01-01,21.0
PC,LI_R_MD60,T,TOTAL,BG,2014-01-01,21.8
PC,LI_R_MD60,T,TOTAL,BG,2015-01-01,22.0
PC,LI_R_MD60,T,TOTAL,BG,2016-01-01,22.9 b
PC,LI_R_MD60,T,TOTAL,BG,2017-01-01,23.4 
PC,LI_R_MD60,T,TOTAL,CH,2006-01-01,: 
PC,LI_R_MD60,T,TOTAL,CH,2007-01-01,15.0 
PC,LI_R_MD60,T,TOTAL,CH,2008-01-01,15.7 
PC,LI_R_MD60,T,TOTAL,CH,2009-01-01,15.6 
PC,LI_R_MD60,T,TOTAL,CH,2010-01-01,15.0 
PC,LI_R_MD60,T,TOTAL,CH,2011-01-01,15.0 
PC,LI_R_MD60,T,TOTAL,CH,2012-01-01,15.9 
PC,LI_R_MD60,T,TOTAL,CH,2013-01-01,14.5
PC,LI_R_MD60,T,TOTAL,CH,2014-01-01,13.8
PC,LI_R_MD60,T,TOTAL,CH,2015-01-01,15.6
PC,LI_R_MD60,T,TOTAL,CH,2016-01-01,14.7 
PC,LI_R_MD60,T,TOTAL,CH,2017-01-01,: 
PC,LI_R_MD60,T,TOTAL,CY,2006-01-01,15.6 
PC,LI_R_MD60,T,TOTAL,CY,2007-01-01,15.5 
PC,LI_R_MD60,T,TOTAL,CY,2008-01-01,15.9 
PC,LI_R_MD60,T,TOTAL,CY,2009-01-01,15.8 
PC,LI_R_MD60,T,TOTAL,CY,2010-01-01,15.6 
PC,LI_R_MD60,T,TOTAL,CY,2011-01-01,14.8 
PC,LI_R_MD60,T,TOTAL,CY,2012-01-01,14.7 
PC,LI_R_MD60,T,TOTAL,CY,2013-01-01,15.3
PC,LI_R_MD60,T,TOTAL,CY,2014-01-01,14.4
PC,LI_R_MD60,T,TOTAL,CY,2015-01-01,16.2
PC,LI_R_MD60,T,TOTAL,CY,2016-01-01,16.1 
PC,LI_R_MD60,T,TOTAL,CY,2017-01-01,15.7 
PC,LI_R_MD60,T,TOTAL,CZ,2006-01-01,9.9 
PC,LI_R_MD60,T,TOTAL,CZ,2007-01-01,9.6 
PC,LI_R_MD60,T,TOTAL,CZ,2008-01-01,9.0 
PC,LI_R_MD60,T,TOTAL,CZ,2009-01-01,8.6 
PC,LI_R_MD60,T,TOTAL,CZ,2010-01-01,9.0 
PC,LI_R_MD60,T,TOTAL,CZ,2011-01-01,9.8 
PC,LI_R_MD60,T,TOTAL,CZ,2012-01-01,9.6 
PC,LI_R_MD60,T,TOTAL,CZ,2013-01-01,8.6
PC,LI_R_MD60,T,TOTAL,CZ,2014-01-01,9.7
PC,LI_R_MD60,T,TOTAL,CZ,2015-01-01,9.7
PC,LI_R_MD60,T,TOTAL,CZ,2016-01-01,9.7 
PC,LI_R_MD60,T,TOTAL,CZ,2017-01-01,9.1 
PC,LI_R_MD60,T,TOTAL,DE,2006-01-01,12.5 
PC,LI_R_MD60,T,TOTAL,DE,2007-01-01,15.2 
PC,LI_R_MD60,T,TOTAL,DE,2008-01-01,15.2 
PC,LI_R_MD60,T,TOTAL,DE,2009-01-01,15.5 
PC,LI_R_MD60,T,TOTAL,DE,2010-01-01,15.6 
PC,LI_R_MD60,T,TOTAL,DE,2011-01-01,15.8 
PC,LI_R_MD60,T,TOTAL,DE,2012-01-01,16.1 
PC,LI_R_MD60,T,TOTAL,DE,2013-01-01,16.1
PC,LI_R_MD60,T,TOTAL,DE,2014-01-01,16.7
PC,LI_R_MD60,T,TOTAL,DE,2015-01-01,16.7
PC,LI_R_MD60,T,TOTAL,DE,2016-01-01,16.5 
PC,LI_R_MD60,T,TOTAL,DE,2017-01-01,16.1 
PC,LI_R_MD60,T,TOTAL,DK,2006-01-01,11.7 
PC,LI_R_MD60,T,TOTAL,DK,2007-01-01,11.7 
PC,LI_R_MD60,T,TOTAL,DK,2008-01-01,11.8 
PC,LI_R_MD60,T,TOTAL,DK,2009-01-01,13.1 
PC,LI_R_MD60,T,TOTAL,DK,2010-01-01,13.3 
PC,LI_R_MD60,T,TOTAL,DK,2011-01-01,12.1 
PC,LI_R_MD60,T,TOTAL,DK,2012-01-01,12.0 
PC,LI_R_MD60,T,TOTAL,DK,2013-01-01,11.9
PC,LI_R_MD60,T,TOTAL,DK,2014-01-01,12.1
PC,LI_R_MD60,T,TOTAL,DK,2015-01-01,12.2
PC,LI_R_MD60,T,TOTAL,DK,2016-01-01,11.9 
PC,LI_R_MD60,T,TOTAL,DK,2017-01-01,12.4 
PC,LI_R_MD60,T,TOTAL,EA18,2006-01-01,15.5 
PC,LI_R_MD60,T,TOTAL,EA18,2007-01-01,16.1 
PC,LI_R_MD60,T,TOTAL,EA18,2008-01-01,16.0 
PC,LI_R_MD60,T,TOTAL,EA18,2009-01-01,16.1 
PC,LI_R_MD60,T,TOTAL,EA18,2010-01-01,16.3 
PC,LI_R_MD60,T,TOTAL,EA18,2011-01-01,16.8 
PC,LI_R_MD60,T,TOTAL,EA18,2012-01-01,16.8 
PC,LI_R_MD60,T,TOTAL,EA18,2013-01-01,16.7
PC,LI_R_MD60,T,TOTAL,EA18,2014-01-01,17.1
PC,LI_R_MD60,T,TOTAL,EA18,2015-01-01,17.2
PC,LI_R_MD60,T,TOTAL,EA18,2016-01-01,17.4 
