s_adj,bop_item,sector10,sectpart,stk_flow,partner,unit,geotime,date,value
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1995-01-01,61
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1995-04-01,48
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1995-07-01,41
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1995-10-01,51
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1996-01-01,28
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1996-04-01,2
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1996-07-01,9
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1996-10-01,24
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1997-01-01,53
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1997-04-01,45
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1997-07-01,39
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1997-10-01,72
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1998-01-01,41
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1998-04-01,56
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1998-07-01,35
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1998-10-01,43
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1999-01-01,65
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1999-04-01,26
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1999-07-01,69
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,1999-10-01,35
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2000-01-01,51
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2000-04-01,100
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2000-07-01,85
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2000-10-01,206
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2001-01-01,64
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2001-04-01,73
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2001-07-01,156
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2001-10-01,216
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2002-01-01,78
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2002-04-01,55
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2002-07-01,214
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2002-10-01,111
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2003-01-01,13
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2003-04-01,9
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2003-07-01,35
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2003-10-01,106
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2004-01-01,20
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2004-04-01,32
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2004-07-01,78
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2004-10-01,38
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2005-01-01,20
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2005-04-01,15
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2005-07-01,35
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2005-10-01,11
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2006-01-01,287
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2006-04-01,49
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2006-07-01,52
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2006-10-01,518
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2007-01-01,87
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2007-04-01,45
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2007-07-01,204
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2007-10-01,45
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2008-01-01,92
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2008-04-01,35
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2008-07-01,38
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2008-10-01,3
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2009-01-01,74
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2009-04-01,114
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2009-07-01,139
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2009-10-01,202
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2010-01-01,476
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2010-04-01,92
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2010-07-01,133
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2010-10-01,74
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2011-01-01,65
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2011-04-01,80
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2011-07-01,95
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2011-10-01,90
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2012-01-01,135
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2012-04-01,99
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2012-07-01,102
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2012-10-01,112
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2013-01-01,167
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2013-04-01,101
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2013-07-01,106
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2013-10-01,115
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2014-01-01,80
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2014-04-01,79
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2014-07-01,47
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2014-10-01,141
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2015-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2015-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2015-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2015-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2016-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2016-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2016-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2016-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2017-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2017-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2017-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2017-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2018-01-01,139
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,AT,2018-04-01,55
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1995-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1995-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1995-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1995-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1996-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1996-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1996-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1996-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1997-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1997-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1997-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1997-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1998-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1998-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1998-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1998-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1999-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1999-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1999-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,1999-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2000-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2000-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2000-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2000-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2001-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2001-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2001-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2001-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2002-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2002-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2002-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2002-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2003-01-01,701
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2003-04-01,60
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2003-07-01,57
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2003-10-01,125
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2004-01-01,206
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2004-04-01,21
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2004-07-01,73
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2004-10-01,86
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2005-01-01,180
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2005-04-01,174
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2005-07-01,159
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2005-10-01,209
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2006-01-01,197
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2006-04-01,94
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2006-07-01,142
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2006-10-01,227
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2007-01-01,153
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2007-04-01,223
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2007-07-01,281
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2007-10-01,591
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2008-01-01,386
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2008-04-01,562
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2008-07-01,451
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2008-10-01,459
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2009-01-01,138
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2009-04-01,141
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2009-07-01,172
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2009-10-01,199
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2010-01-01,212
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2010-04-01,239
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2010-07-01,220
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2010-10-01,192
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2011-01-01,41
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2011-04-01,26
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2011-07-01,151
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2011-10-01,198
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2012-01-01,48
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2012-04-01,92
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2012-07-01,165
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2012-10-01,2443
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2013-01-01,207
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2013-04-01,90
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2013-07-01,171
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2013-10-01,59
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2014-01-01,304
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2014-04-01,90
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2014-07-01,104
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2014-10-01,416
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2015-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2015-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2015-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2015-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2016-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2016-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2016-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2016-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2017-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2017-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2017-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2017-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2018-01-01,35
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BE,2018-04-01,2
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1995-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1995-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1995-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1995-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1996-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1996-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1996-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1996-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1997-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1997-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1997-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1997-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1998-01-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1998-04-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1998-07-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1998-10-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1999-01-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1999-04-01,1
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1999-07-01,3
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,1999-10-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2000-01-01,22
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2000-04-01,26
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2000-07-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2000-10-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2001-01-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2001-04-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2001-07-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2001-10-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2002-01-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2002-04-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2002-07-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2002-10-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2003-01-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2003-04-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2003-07-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2003-10-01,0
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2004-01-01,72
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2004-04-01,20
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2004-07-01,119
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2004-10-01,107
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2005-01-01,43
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2005-04-01,118
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2005-07-01,162
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2005-10-01,142
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2006-01-01,36
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2006-04-01,97
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2006-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2006-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2007-01-01,56
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2007-04-01,72
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2007-07-01,62
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2007-10-01,1339
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2008-01-01,363
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2008-04-01,32
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2008-07-01,66
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2008-10-01,80
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2009-01-01,357
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2009-04-01,237
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2009-07-01,148
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2009-10-01,189
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2010-01-01,122
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2010-04-01,175
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2010-07-01,349
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2010-10-01,281
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2011-01-01,43
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2011-04-01,95
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2011-07-01,249
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2011-10-01,596
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2012-01-01,22
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2012-04-01,81
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2012-07-01,323
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2012-10-01,640
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2013-01-01,32
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2013-04-01,244
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2013-07-01,325
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2013-10-01,315
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2014-01-01,248
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2014-04-01,387
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2014-07-01,396
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2014-10-01,844
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2015-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2015-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2015-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2015-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2016-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2016-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2016-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2016-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2017-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2017-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2017-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2017-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2018-01-01,3
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,BG,2018-04-01,377
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1995-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1995-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1995-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1995-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1996-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1996-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1996-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1996-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1997-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1997-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1997-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1997-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1998-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1998-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1998-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1998-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1999-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1999-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1999-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,1999-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2000-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2000-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2000-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2000-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2001-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2001-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2001-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2001-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2002-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2002-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2002-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2002-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2003-01-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2003-04-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2003-07-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2003-10-01,
NSA,KA,S1,S1,BAL,WRL_REST,MIO_NAC,CY,2004-01-01,
