duration,isced11,age,sex,unit,geotime,date,value
Y1-3,ED3-8,Y20-34,F,PC,SE,2008-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,SE,2009-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,SE,2010-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,SE,2011-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,SE,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,SE,2013-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,SE,2014-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,SE,2015-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,SE,2016-01-01,86
Y1-3,ED3-8,Y20-34,F,PC,SE,2017-01-01,87
Y1-3,ED3-8,Y20-34,F,PC,SI,2006-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,SI,2007-01-01,76
Y1-3,ED3-8,Y20-34,F,PC,SI,2008-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,SI,2009-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,SI,2010-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,SI,2011-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,SI,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,SI,2013-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,SI,2014-01-01,63
Y1-3,ED3-8,Y20-34,F,PC,SI,2015-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,SI,2016-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,SI,2017-01-01,73
Y1-3,ED3-8,Y20-34,F,PC,SK,2006-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,SK,2007-01-01,77
Y1-3,ED3-8,Y20-34,F,PC,SK,2008-01-01,74
Y1-3,ED3-8,Y20-34,F,PC,SK,2009-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,SK,2010-01-01,69
Y1-3,ED3-8,Y20-34,F,PC,SK,2011-01-01,66
Y1-3,ED3-8,Y20-34,F,PC,SK,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,SK,2013-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,SK,2014-01-01,68
Y1-3,ED3-8,Y20-34,F,PC,SK,2015-01-01,70
Y1-3,ED3-8,Y20-34,F,PC,SK,2016-01-01,72
Y1-3,ED3-8,Y20-34,F,PC,SK,2017-01-01,75
Y1-3,ED3-8,Y20-34,F,PC,TR,2006-01-01,48
Y1-3,ED3-8,Y20-34,F,PC,TR,2007-01-01,50
Y1-3,ED3-8,Y20-34,F,PC,TR,2008-01-01,52
Y1-3,ED3-8,Y20-34,F,PC,TR,2009-01-01,51
Y1-3,ED3-8,Y20-34,F,PC,TR,2010-01-01,52
Y1-3,ED3-8,Y20-34,F,PC,TR,2011-01-01,53
Y1-3,ED3-8,Y20-34,F,PC,TR,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,TR,2013-01-01,52
Y1-3,ED3-8,Y20-34,F,PC,TR,2014-01-01,54
Y1-3,ED3-8,Y20-34,F,PC,TR,2015-01-01,52
Y1-3,ED3-8,Y20-34,F,PC,TR,2016-01-01,51
Y1-3,ED3-8,Y20-34,F,PC,TR,2017-01-01,51
Y1-3,ED3-8,Y20-34,F,PC,UK,2006-01-01,85
Y1-3,ED3-8,Y20-34,F,PC,UK,2007-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,UK,2008-01-01,82
Y1-3,ED3-8,Y20-34,F,PC,UK,2009-01-01,79
Y1-3,ED3-8,Y20-34,F,PC,UK,2010-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,UK,2011-01-01,78
Y1-3,ED3-8,Y20-34,F,PC,UK,2012-01-01,
Y1-3,ED3-8,Y20-34,F,PC,UK,2013-01-01,83
Y1-3,ED3-8,Y20-34,F,PC,UK,2014-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,UK,2015-01-01,84
Y1-3,ED3-8,Y20-34,F,PC,UK,2016-01-01,81
Y1-3,ED3-8,Y20-34,F,PC,UK,2017-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,AT,2006-01-01,90
Y1-3,ED3-8,Y20-34,M,PC,AT,2007-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,AT,2008-01-01,90
Y1-3,ED3-8,Y20-34,M,PC,AT,2009-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,AT,2010-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,AT,2011-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,AT,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,AT,2013-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,AT,2014-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,AT,2015-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,AT,2016-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,AT,2017-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,BE,2006-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,BE,2007-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,BE,2008-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,BE,2009-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,BE,2010-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,BE,2011-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,BE,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,BE,2013-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,BE,2014-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,BE,2015-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,BE,2016-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,BE,2017-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,BG,2006-01-01,69
Y1-3,ED3-8,Y20-34,M,PC,BG,2007-01-01,74
Y1-3,ED3-8,Y20-34,M,PC,BG,2008-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,BG,2009-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,BG,2010-01-01,67
Y1-3,ED3-8,Y20-34,M,PC,BG,2011-01-01,57
Y1-3,ED3-8,Y20-34,M,PC,BG,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,BG,2013-01-01,66
Y1-3,ED3-8,Y20-34,M,PC,BG,2014-01-01,64
Y1-3,ED3-8,Y20-34,M,PC,BG,2015-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,BG,2016-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,BG,2017-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,CH,2006-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,CH,2007-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,CH,2008-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,CH,2009-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,CH,2010-01-01,90
Y1-3,ED3-8,Y20-34,M,PC,CH,2011-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,CH,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,CH,2013-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,CH,2014-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,CH,2015-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,CH,2016-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,CH,2017-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,CY,2006-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,CY,2007-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,CY,2008-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,CY,2009-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,CY,2010-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,CY,2011-01-01,73
Y1-3,ED3-8,Y20-34,M,PC,CY,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,CY,2013-01-01,62
Y1-3,ED3-8,Y20-34,M,PC,CY,2014-01-01,68
Y1-3,ED3-8,Y20-34,M,PC,CY,2015-01-01,67
Y1-3,ED3-8,Y20-34,M,PC,CY,2016-01-01,72
Y1-3,ED3-8,Y20-34,M,PC,CY,2017-01-01,68
Y1-3,ED3-8,Y20-34,M,PC,CZ,2006-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,CZ,2007-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,CZ,2008-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,CZ,2009-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,CZ,2010-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,CZ,2011-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,CZ,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,CZ,2013-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,CZ,2014-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,CZ,2015-01-01,90
Y1-3,ED3-8,Y20-34,M,PC,CZ,2016-01-01,94
Y1-3,ED3-8,Y20-34,M,PC,CZ,2017-01-01,95
Y1-3,ED3-8,Y20-34,M,PC,DE,2006-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,DE,2007-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,DE,2008-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,DE,2009-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,DE,2010-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,DE,2011-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,DE,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,DE,2013-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,DE,2014-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,DE,2015-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,DE,2016-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,DE,2017-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,DK,2006-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,DK,2007-01-01,94
Y1-3,ED3-8,Y20-34,M,PC,DK,2008-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,DK,2009-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,DK,2010-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,DK,2011-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,DK,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,DK,2013-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,DK,2014-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,DK,2015-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,DK,2016-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,DK,2017-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,EA18,2006-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,EA18,2007-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,EA18,2008-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,EA18,2009-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA18,2010-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EA18,2011-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA18,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,EA18,2013-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,EA18,2014-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,EA18,2015-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,EA18,2016-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA18,2017-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EA19,2006-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,EA19,2007-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,EA19,2008-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,EA19,2009-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA19,2010-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA19,2011-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA19,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,EA19,2013-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,EA19,2014-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,EA19,2015-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,EA19,2016-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EA19,2017-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EE,2006-01-01,94
Y1-3,ED3-8,Y20-34,M,PC,EE,2007-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,EE,2008-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,EE,2009-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,EE,2010-01-01,72
Y1-3,ED3-8,Y20-34,M,PC,EE,2011-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,EE,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,EE,2013-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,EE,2014-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,EE,2015-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,EE,2016-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,EE,2017-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,EL,2006-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,EL,2007-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,EL,2008-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,EL,2009-01-01,68
Y1-3,ED3-8,Y20-34,M,PC,EL,2010-01-01,60
Y1-3,ED3-8,Y20-34,M,PC,EL,2011-01-01,52
Y1-3,ED3-8,Y20-34,M,PC,EL,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,EL,2013-01-01,42
Y1-3,ED3-8,Y20-34,M,PC,EL,2014-01-01,46
Y1-3,ED3-8,Y20-34,M,PC,EL,2015-01-01,46
Y1-3,ED3-8,Y20-34,M,PC,EL,2016-01-01,51
Y1-3,ED3-8,Y20-34,M,PC,EL,2017-01-01,52
Y1-3,ED3-8,Y20-34,M,PC,ES,2006-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,ES,2007-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,ES,2008-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,ES,2009-01-01,73
Y1-3,ED3-8,Y20-34,M,PC,ES,2010-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,ES,2011-01-01,68
Y1-3,ED3-8,Y20-34,M,PC,ES,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ES,2013-01-01,60
Y1-3,ED3-8,Y20-34,M,PC,ES,2014-01-01,63
Y1-3,ED3-8,Y20-34,M,PC,ES,2015-01-01,65
Y1-3,ED3-8,Y20-34,M,PC,ES,2016-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,ES,2017-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,EU27,2006-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,EU27,2007-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,EU27,2008-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,EU27,2009-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EU27,2010-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EU27,2011-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EU27,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,EU27,2013-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,EU27,2014-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EU27,2015-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EU27,2016-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,EU27,2017-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,EU28,2006-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,EU28,2007-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,EU28,2008-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,EU28,2009-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EU28,2010-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EU28,2011-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,EU28,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,EU28,2013-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,EU28,2014-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,EU28,2015-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,EU28,2016-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,EU28,2017-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,FI,2006-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,FI,2007-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,FI,2008-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,FI,2009-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,FI,2010-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,FI,2011-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,FI,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,FI,2013-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,FI,2014-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,FI,2015-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,FI,2016-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,FI,2017-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,FR,2006-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,FR,2007-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,FR,2008-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,FR,2009-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,FR,2010-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,FR,2011-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,FR,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,FR,2013-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,FR,2014-01-01,76
Y1-3,ED3-8,Y20-34,M,PC,FR,2015-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,FR,2016-01-01,72
Y1-3,ED3-8,Y20-34,M,PC,FR,2017-01-01,74
Y1-3,ED3-8,Y20-34,M,PC,HR,2006-01-01,73
Y1-3,ED3-8,Y20-34,M,PC,HR,2007-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,HR,2008-01-01,78
Y1-3,ED3-8,Y20-34,M,PC,HR,2009-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,HR,2010-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,HR,2011-01-01,58
Y1-3,ED3-8,Y20-34,M,PC,HR,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,HR,2013-01-01,53
Y1-3,ED3-8,Y20-34,M,PC,HR,2014-01-01,61
Y1-3,ED3-8,Y20-34,M,PC,HR,2015-01-01,62
Y1-3,ED3-8,Y20-34,M,PC,HR,2016-01-01,72
Y1-3,ED3-8,Y20-34,M,PC,HR,2017-01-01,69
Y1-3,ED3-8,Y20-34,M,PC,HU,2006-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,HU,2007-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,HU,2008-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,HU,2009-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,HU,2010-01-01,74
Y1-3,ED3-8,Y20-34,M,PC,HU,2011-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,HU,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,HU,2013-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,HU,2014-01-01,81
Y1-3,ED3-8,Y20-34,M,PC,HU,2015-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,HU,2016-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,HU,2017-01-01,90
Y1-3,ED3-8,Y20-34,M,PC,IE,2006-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,IE,2007-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,IE,2008-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,IE,2009-01-01,74
Y1-3,ED3-8,Y20-34,M,PC,IE,2010-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,IE,2011-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,IE,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,IE,2013-01-01,74
Y1-3,ED3-8,Y20-34,M,PC,IE,2014-01-01,75
Y1-3,ED3-8,Y20-34,M,PC,IE,2015-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,IE,2016-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,IE,2017-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,IS,2006-01-01,97
Y1-3,ED3-8,Y20-34,M,PC,IS,2007-01-01,96
Y1-3,ED3-8,Y20-34,M,PC,IS,2008-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,IS,2009-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,IS,2010-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,IS,2011-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,IS,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,IS,2013-01-01,87
Y1-3,ED3-8,Y20-34,M,PC,IS,2014-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,IS,2015-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,IS,2016-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,IS,2017-01-01,95
Y1-3,ED3-8,Y20-34,M,PC,IT,2006-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,IT,2007-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,IT,2008-01-01,69
Y1-3,ED3-8,Y20-34,M,PC,IT,2009-01-01,64
Y1-3,ED3-8,Y20-34,M,PC,IT,2010-01-01,60
Y1-3,ED3-8,Y20-34,M,PC,IT,2011-01-01,60
Y1-3,ED3-8,Y20-34,M,PC,IT,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,IT,2013-01-01,49
Y1-3,ED3-8,Y20-34,M,PC,IT,2014-01-01,46
Y1-3,ED3-8,Y20-34,M,PC,IT,2015-01-01,51
Y1-3,ED3-8,Y20-34,M,PC,IT,2016-01-01,56
Y1-3,ED3-8,Y20-34,M,PC,IT,2017-01-01,57
Y1-3,ED3-8,Y20-34,M,PC,LT,2006-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,LT,2007-01-01,85
Y1-3,ED3-8,Y20-34,M,PC,LT,2008-01-01,84
Y1-3,ED3-8,Y20-34,M,PC,LT,2009-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,LT,2010-01-01,69
Y1-3,ED3-8,Y20-34,M,PC,LT,2011-01-01,70
Y1-3,ED3-8,Y20-34,M,PC,LT,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,LT,2013-01-01,74
Y1-3,ED3-8,Y20-34,M,PC,LT,2014-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,LT,2015-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,LT,2016-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,LT,2017-01-01,83
Y1-3,ED3-8,Y20-34,M,PC,LU,2006-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,LU,2007-01-01,88
Y1-3,ED3-8,Y20-34,M,PC,LU,2008-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,LU,2009-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,LU,2010-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,LU,2011-01-01,89
Y1-3,ED3-8,Y20-34,M,PC,LU,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,LU,2013-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,LU,2014-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,LU,2015-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,LU,2016-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,LU,2017-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,LV,2006-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,LV,2007-01-01,86
Y1-3,ED3-8,Y20-34,M,PC,LV,2008-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,LV,2009-01-01,73
Y1-3,ED3-8,Y20-34,M,PC,LV,2010-01-01,63
Y1-3,ED3-8,Y20-34,M,PC,LV,2011-01-01,71
Y1-3,ED3-8,Y20-34,M,PC,LV,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,LV,2013-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,LV,2014-01-01,80
Y1-3,ED3-8,Y20-34,M,PC,LV,2015-01-01,82
Y1-3,ED3-8,Y20-34,M,PC,LV,2016-01-01,77
Y1-3,ED3-8,Y20-34,M,PC,LV,2017-01-01,79
Y1-3,ED3-8,Y20-34,M,PC,ME,2006-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ME,2007-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ME,2008-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ME,2009-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ME,2010-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ME,2011-01-01,57
Y1-3,ED3-8,Y20-34,M,PC,ME,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,ME,2013-01-01,63
Y1-3,ED3-8,Y20-34,M,PC,ME,2014-01-01,54
Y1-3,ED3-8,Y20-34,M,PC,ME,2015-01-01,57
Y1-3,ED3-8,Y20-34,M,PC,ME,2016-01-01,58
Y1-3,ED3-8,Y20-34,M,PC,ME,2017-01-01,59
Y1-3,ED3-8,Y20-34,M,PC,MK,2006-01-01,29
Y1-3,ED3-8,Y20-34,M,PC,MK,2007-01-01,38
Y1-3,ED3-8,Y20-34,M,PC,MK,2008-01-01,45
Y1-3,ED3-8,Y20-34,M,PC,MK,2009-01-01,48
Y1-3,ED3-8,Y20-34,M,PC,MK,2010-01-01,51
Y1-3,ED3-8,Y20-34,M,PC,MK,2011-01-01,49
Y1-3,ED3-8,Y20-34,M,PC,MK,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,MK,2013-01-01,46
Y1-3,ED3-8,Y20-34,M,PC,MK,2014-01-01,45
Y1-3,ED3-8,Y20-34,M,PC,MK,2015-01-01,45
Y1-3,ED3-8,Y20-34,M,PC,MK,2016-01-01,49
Y1-3,ED3-8,Y20-34,M,PC,MK,2017-01-01,55
Y1-3,ED3-8,Y20-34,M,PC,MT,2006-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,MT,2007-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,MT,2008-01-01,95
Y1-3,ED3-8,Y20-34,M,PC,MT,2009-01-01,92
Y1-3,ED3-8,Y20-34,M,PC,MT,2010-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,MT,2011-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,MT,2012-01-01,
Y1-3,ED3-8,Y20-34,M,PC,MT,2013-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,MT,2014-01-01,93
Y1-3,ED3-8,Y20-34,M,PC,MT,2015-01-01,95
Y1-3,ED3-8,Y20-34,M,PC,MT,2016-01-01,96
Y1-3,ED3-8,Y20-34,M,PC,MT,2017-01-01,91
Y1-3,ED3-8,Y20-34,M,PC,NL,2006-01-01,94
Y1-3,ED3-8,Y20-34,M,PC,NL,2007-01-01,95
Y1-3,ED3-8,Y20-34,M,PC,NL,2008-01-01,95
Y1-3,ED3-8,Y20-34,M,PC,NL,2009-01-01,93
