hhtyp,incgrp,unit,geotime,date,value
TOTAL,B_MD60,PC,PL,2008-01-01,8
TOTAL,B_MD60,PC,PL,2009-01-01,8
TOTAL,B_MD60,PC,PL,2010-01-01,6
TOTAL,B_MD60,PC,PL,2011-01-01,6
TOTAL,B_MD60,PC,PL,2012-01-01,7
TOTAL,B_MD60,PC,PL,2013-01-01,
TOTAL,B_MD60,PC,PL,2014-01-01,7
TOTAL,B_MD60,PC,PL,2015-01-01,
TOTAL,B_MD60,PC,PL,2016-01-01,4
TOTAL,B_MD60,PC,PL,2017-01-01,5
TOTAL,B_MD60,PC,PT,2003-01-01,
TOTAL,B_MD60,PC,PT,2004-01-01,11
TOTAL,B_MD60,PC,PT,2005-01-01,10
TOTAL,B_MD60,PC,PT,2006-01-01,9
TOTAL,B_MD60,PC,PT,2007-01-01,13
TOTAL,B_MD60,PC,PT,2008-01-01,10
TOTAL,B_MD60,PC,PT,2009-01-01,11
TOTAL,B_MD60,PC,PT,2010-01-01,11
TOTAL,B_MD60,PC,PT,2011-01-01,8
TOTAL,B_MD60,PC,PT,2012-01-01,7
TOTAL,B_MD60,PC,PT,2013-01-01,
TOTAL,B_MD60,PC,PT,2014-01-01,11
TOTAL,B_MD60,PC,PT,2015-01-01,
TOTAL,B_MD60,PC,PT,2016-01-01,7
TOTAL,B_MD60,PC,PT,2017-01-01,8
TOTAL,B_MD60,PC,RO,2003-01-01,
TOTAL,B_MD60,PC,RO,2004-01-01,
TOTAL,B_MD60,PC,RO,2005-01-01,
TOTAL,B_MD60,PC,RO,2006-01-01,
TOTAL,B_MD60,PC,RO,2007-01-01,16
TOTAL,B_MD60,PC,RO,2008-01-01,13
TOTAL,B_MD60,PC,RO,2009-01-01,14
TOTAL,B_MD60,PC,RO,2010-01-01,14
TOTAL,B_MD60,PC,RO,2011-01-01,15
TOTAL,B_MD60,PC,RO,2012-01-01,13
TOTAL,B_MD60,PC,RO,2013-01-01,
TOTAL,B_MD60,PC,RO,2014-01-01,15
TOTAL,B_MD60,PC,RO,2015-01-01,
TOTAL,B_MD60,PC,RO,2016-01-01,15
TOTAL,B_MD60,PC,RO,2017-01-01,14
TOTAL,B_MD60,PC,RS,2003-01-01,
TOTAL,B_MD60,PC,RS,2004-01-01,
TOTAL,B_MD60,PC,RS,2005-01-01,
TOTAL,B_MD60,PC,RS,2006-01-01,
TOTAL,B_MD60,PC,RS,2007-01-01,
TOTAL,B_MD60,PC,RS,2008-01-01,
TOTAL,B_MD60,PC,RS,2009-01-01,
TOTAL,B_MD60,PC,RS,2010-01-01,
TOTAL,B_MD60,PC,RS,2011-01-01,
TOTAL,B_MD60,PC,RS,2012-01-01,
TOTAL,B_MD60,PC,RS,2013-01-01,
TOTAL,B_MD60,PC,RS,2014-01-01,18
TOTAL,B_MD60,PC,RS,2015-01-01,
TOTAL,B_MD60,PC,RS,2016-01-01,15
TOTAL,B_MD60,PC,RS,2017-01-01,
TOTAL,B_MD60,PC,SE,2003-01-01,
TOTAL,B_MD60,PC,SE,2004-01-01,15
TOTAL,B_MD60,PC,SE,2005-01-01,11
TOTAL,B_MD60,PC,SE,2006-01-01,16
TOTAL,B_MD60,PC,SE,2007-01-01,16
TOTAL,B_MD60,PC,SE,2008-01-01,19
TOTAL,B_MD60,PC,SE,2009-01-01,17
TOTAL,B_MD60,PC,SE,2010-01-01,17
TOTAL,B_MD60,PC,SE,2011-01-01,19
TOTAL,B_MD60,PC,SE,2012-01-01,15
TOTAL,B_MD60,PC,SE,2013-01-01,
TOTAL,B_MD60,PC,SE,2014-01-01,16
TOTAL,B_MD60,PC,SE,2015-01-01,
TOTAL,B_MD60,PC,SE,2016-01-01,16
TOTAL,B_MD60,PC,SE,2017-01-01,15
TOTAL,B_MD60,PC,SI,2003-01-01,
TOTAL,B_MD60,PC,SI,2004-01-01,
TOTAL,B_MD60,PC,SI,2005-01-01,8
TOTAL,B_MD60,PC,SI,2006-01-01,8
TOTAL,B_MD60,PC,SI,2007-01-01,10
TOTAL,B_MD60,PC,SI,2008-01-01,8
TOTAL,B_MD60,PC,SI,2009-01-01,11
TOTAL,B_MD60,PC,SI,2010-01-01,7
TOTAL,B_MD60,PC,SI,2011-01-01,7
TOTAL,B_MD60,PC,SI,2012-01-01,7
TOTAL,B_MD60,PC,SI,2013-01-01,
TOTAL,B_MD60,PC,SI,2014-01-01,8
TOTAL,B_MD60,PC,SI,2015-01-01,
TOTAL,B_MD60,PC,SI,2016-01-01,7
TOTAL,B_MD60,PC,SI,2017-01-01,6
TOTAL,B_MD60,PC,SK,2003-01-01,
TOTAL,B_MD60,PC,SK,2004-01-01,
TOTAL,B_MD60,PC,SK,2005-01-01,8
TOTAL,B_MD60,PC,SK,2006-01-01,7
TOTAL,B_MD60,PC,SK,2007-01-01,7
TOTAL,B_MD60,PC,SK,2008-01-01,11
TOTAL,B_MD60,PC,SK,2009-01-01,11
TOTAL,B_MD60,PC,SK,2010-01-01,8
TOTAL,B_MD60,PC,SK,2011-01-01,10
TOTAL,B_MD60,PC,SK,2012-01-01,9
TOTAL,B_MD60,PC,SK,2013-01-01,
TOTAL,B_MD60,PC,SK,2014-01-01,10
TOTAL,B_MD60,PC,SK,2015-01-01,
TOTAL,B_MD60,PC,SK,2016-01-01,9
TOTAL,B_MD60,PC,SK,2017-01-01,8
TOTAL,B_MD60,PC,TR,2003-01-01,
TOTAL,B_MD60,PC,TR,2004-01-01,
TOTAL,B_MD60,PC,TR,2005-01-01,
TOTAL,B_MD60,PC,TR,2006-01-01,15
TOTAL,B_MD60,PC,TR,2007-01-01,12
TOTAL,B_MD60,PC,TR,2008-01-01,8
TOTAL,B_MD60,PC,TR,2009-01-01,10
TOTAL,B_MD60,PC,TR,2010-01-01,
TOTAL,B_MD60,PC,TR,2011-01-01,10
TOTAL,B_MD60,PC,TR,2012-01-01,7
TOTAL,B_MD60,PC,TR,2013-01-01,
TOTAL,B_MD60,PC,TR,2014-01-01,10
TOTAL,B_MD60,PC,TR,2015-01-01,
TOTAL,B_MD60,PC,TR,2016-01-01,
TOTAL,B_MD60,PC,TR,2017-01-01,
TOTAL,B_MD60,PC,UK,2003-01-01,
TOTAL,B_MD60,PC,UK,2004-01-01,
TOTAL,B_MD60,PC,UK,2005-01-01,32
TOTAL,B_MD60,PC,UK,2006-01-01,32
TOTAL,B_MD60,PC,UK,2007-01-01,28
TOTAL,B_MD60,PC,UK,2008-01-01,27
TOTAL,B_MD60,PC,UK,2009-01-01,28
TOTAL,B_MD60,PC,UK,2010-01-01,27
TOTAL,B_MD60,PC,UK,2011-01-01,24
TOTAL,B_MD60,PC,UK,2012-01-01,26
TOTAL,B_MD60,PC,UK,2013-01-01,
TOTAL,B_MD60,PC,UK,2014-01-01,22
TOTAL,B_MD60,PC,UK,2015-01-01,
TOTAL,B_MD60,PC,UK,2016-01-01,20
TOTAL,B_MD60,PC,UK,2017-01-01,
TOTAL,TOTAL,PC,AT,2003-01-01,
TOTAL,TOTAL,PC,AT,2004-01-01,9
TOTAL,TOTAL,PC,AT,2005-01-01,12
TOTAL,TOTAL,PC,AT,2006-01-01,12
TOTAL,TOTAL,PC,AT,2007-01-01,11
TOTAL,TOTAL,PC,AT,2008-01-01,11
TOTAL,TOTAL,PC,AT,2009-01-01,15
TOTAL,TOTAL,PC,AT,2010-01-01,13
TOTAL,TOTAL,PC,AT,2011-01-01,12
TOTAL,TOTAL,PC,AT,2012-01-01,11
TOTAL,TOTAL,PC,AT,2013-01-01,
TOTAL,TOTAL,PC,AT,2014-01-01,13
TOTAL,TOTAL,PC,AT,2015-01-01,
TOTAL,TOTAL,PC,AT,2016-01-01,12
TOTAL,TOTAL,PC,AT,2017-01-01,10
TOTAL,TOTAL,PC,BE,2003-01-01,20
TOTAL,TOTAL,PC,BE,2004-01-01,19
TOTAL,TOTAL,PC,BE,2005-01-01,17
TOTAL,TOTAL,PC,BE,2006-01-01,18
TOTAL,TOTAL,PC,BE,2007-01-01,17
TOTAL,TOTAL,PC,BE,2008-01-01,15
TOTAL,TOTAL,PC,BE,2009-01-01,16
TOTAL,TOTAL,PC,BE,2010-01-01,17
TOTAL,TOTAL,PC,BE,2011-01-01,15
TOTAL,TOTAL,PC,BE,2012-01-01,14
TOTAL,TOTAL,PC,BE,2013-01-01,
TOTAL,TOTAL,PC,BE,2014-01-01,16
TOTAL,TOTAL,PC,BE,2015-01-01,
TOTAL,TOTAL,PC,BE,2016-01-01,13
TOTAL,TOTAL,PC,BE,2017-01-01,12
TOTAL,TOTAL,PC,BG,2003-01-01,
TOTAL,TOTAL,PC,BG,2004-01-01,
TOTAL,TOTAL,PC,BG,2005-01-01,24
TOTAL,TOTAL,PC,BG,2006-01-01,24
TOTAL,TOTAL,PC,BG,2007-01-01,27
TOTAL,TOTAL,PC,BG,2008-01-01,24
TOTAL,TOTAL,PC,BG,2009-01-01,28
TOTAL,TOTAL,PC,BG,2010-01-01,27
TOTAL,TOTAL,PC,BG,2011-01-01,27
TOTAL,TOTAL,PC,BG,2012-01-01,26
TOTAL,TOTAL,PC,BG,2013-01-01,
TOTAL,TOTAL,PC,BG,2014-01-01,26
TOTAL,TOTAL,PC,BG,2015-01-01,
TOTAL,TOTAL,PC,BG,2016-01-01,25
TOTAL,TOTAL,PC,BG,2017-01-01,23
TOTAL,TOTAL,PC,CH,2003-01-01,
TOTAL,TOTAL,PC,CH,2004-01-01,
TOTAL,TOTAL,PC,CH,2005-01-01,
TOTAL,TOTAL,PC,CH,2006-01-01,
TOTAL,TOTAL,PC,CH,2007-01-01,12
TOTAL,TOTAL,PC,CH,2008-01-01,12
TOTAL,TOTAL,PC,CH,2009-01-01,12
TOTAL,TOTAL,PC,CH,2010-01-01,13
TOTAL,TOTAL,PC,CH,2011-01-01,12
TOTAL,TOTAL,PC,CH,2012-01-01,16
TOTAL,TOTAL,PC,CH,2013-01-01,
TOTAL,TOTAL,PC,CH,2014-01-01,14
TOTAL,TOTAL,PC,CH,2015-01-01,
TOTAL,TOTAL,PC,CH,2016-01-01,10
TOTAL,TOTAL,PC,CH,2017-01-01,
TOTAL,TOTAL,PC,CY,2003-01-01,
TOTAL,TOTAL,PC,CY,2004-01-01,
TOTAL,TOTAL,PC,CY,2005-01-01,8
TOTAL,TOTAL,PC,CY,2006-01-01,12
TOTAL,TOTAL,PC,CY,2007-01-01,13
TOTAL,TOTAL,PC,CY,2008-01-01,10
TOTAL,TOTAL,PC,CY,2009-01-01,8
TOTAL,TOTAL,PC,CY,2010-01-01,12
TOTAL,TOTAL,PC,CY,2011-01-01,15
TOTAL,TOTAL,PC,CY,2012-01-01,15
TOTAL,TOTAL,PC,CY,2013-01-01,
TOTAL,TOTAL,PC,CY,2014-01-01,11
TOTAL,TOTAL,PC,CY,2015-01-01,
TOTAL,TOTAL,PC,CY,2016-01-01,9
TOTAL,TOTAL,PC,CY,2017-01-01,12
TOTAL,TOTAL,PC,CZ,2003-01-01,
TOTAL,TOTAL,PC,CZ,2004-01-01,
TOTAL,TOTAL,PC,CZ,2005-01-01,16
TOTAL,TOTAL,PC,CZ,2006-01-01,14
TOTAL,TOTAL,PC,CZ,2007-01-01,13
TOTAL,TOTAL,PC,CZ,2008-01-01,13
TOTAL,TOTAL,PC,CZ,2009-01-01,17
TOTAL,TOTAL,PC,CZ,2010-01-01,15
TOTAL,TOTAL,PC,CZ,2011-01-01,15
TOTAL,TOTAL,PC,CZ,2012-01-01,13
TOTAL,TOTAL,PC,CZ,2013-01-01,
TOTAL,TOTAL,PC,CZ,2014-01-01,13
TOTAL,TOTAL,PC,CZ,2015-01-01,
TOTAL,TOTAL,PC,CZ,2016-01-01,11
TOTAL,TOTAL,PC,CZ,2017-01-01,9
TOTAL,TOTAL,PC,DE,2003-01-01,
TOTAL,TOTAL,PC,DE,2004-01-01,
TOTAL,TOTAL,PC,DE,2005-01-01,9
TOTAL,TOTAL,PC,DE,2006-01-01,12
TOTAL,TOTAL,PC,DE,2007-01-01,12
TOTAL,TOTAL,PC,DE,2008-01-01,13
TOTAL,TOTAL,PC,DE,2009-01-01,12
TOTAL,TOTAL,PC,DE,2010-01-01,12
TOTAL,TOTAL,PC,DE,2011-01-01,12
TOTAL,TOTAL,PC,DE,2012-01-01,12
TOTAL,TOTAL,PC,DE,2013-01-01,
TOTAL,TOTAL,PC,DE,2014-01-01,13
TOTAL,TOTAL,PC,DE,2015-01-01,
TOTAL,TOTAL,PC,DE,2016-01-01,14
TOTAL,TOTAL,PC,DE,2017-01-01,14
TOTAL,TOTAL,PC,DK,2003-01-01,10
TOTAL,TOTAL,PC,DK,2004-01-01,14
TOTAL,TOTAL,PC,DK,2005-01-01,14
TOTAL,TOTAL,PC,DK,2006-01-01,13
TOTAL,TOTAL,PC,DK,2007-01-01,14
TOTAL,TOTAL,PC,DK,2008-01-01,16
TOTAL,TOTAL,PC,DK,2009-01-01,16
TOTAL,TOTAL,PC,DK,2010-01-01,14
TOTAL,TOTAL,PC,DK,2011-01-01,15
TOTAL,TOTAL,PC,DK,2012-01-01,9
TOTAL,TOTAL,PC,DK,2013-01-01,
TOTAL,TOTAL,PC,DK,2014-01-01,9
TOTAL,TOTAL,PC,DK,2015-01-01,
TOTAL,TOTAL,PC,DK,2016-01-01,8
TOTAL,TOTAL,PC,DK,2017-01-01,7
TOTAL,TOTAL,PC,EA18,2003-01-01,
TOTAL,TOTAL,PC,EA18,2004-01-01,
TOTAL,TOTAL,PC,EA18,2005-01-01,14
TOTAL,TOTAL,PC,EA18,2006-01-01,14
TOTAL,TOTAL,PC,EA18,2007-01-01,14
TOTAL,TOTAL,PC,EA18,2008-01-01,13
TOTAL,TOTAL,PC,EA18,2009-01-01,15
TOTAL,TOTAL,PC,EA18,2010-01-01,13
TOTAL,TOTAL,PC,EA18,2011-01-01,13
TOTAL,TOTAL,PC,EA18,2012-01-01,13
TOTAL,TOTAL,PC,EA18,2013-01-01,
TOTAL,TOTAL,PC,EA18,2014-01-01,14
TOTAL,TOTAL,PC,EA18,2015-01-01,
TOTAL,TOTAL,PC,EA18,2016-01-01,13
TOTAL,TOTAL,PC,EA18,2017-01-01,12
TOTAL,TOTAL,PC,EA19,2003-01-01,
TOTAL,TOTAL,PC,EA19,2004-01-01,
TOTAL,TOTAL,PC,EA19,2005-01-01,14
TOTAL,TOTAL,PC,EA19,2006-01-01,14
TOTAL,TOTAL,PC,EA19,2007-01-01,14
TOTAL,TOTAL,PC,EA19,2008-01-01,13
TOTAL,TOTAL,PC,EA19,2009-01-01,15
TOTAL,TOTAL,PC,EA19,2010-01-01,13
TOTAL,TOTAL,PC,EA19,2011-01-01,13
TOTAL,TOTAL,PC,EA19,2012-01-01,13
TOTAL,TOTAL,PC,EA19,2013-01-01,
TOTAL,TOTAL,PC,EA19,2014-01-01,14
TOTAL,TOTAL,PC,EA19,2015-01-01,
TOTAL,TOTAL,PC,EA19,2016-01-01,13
TOTAL,TOTAL,PC,EA19,2017-01-01,12
TOTAL,TOTAL,PC,EE,2003-01-01,
TOTAL,TOTAL,PC,EE,2004-01-01,27
TOTAL,TOTAL,PC,EE,2005-01-01,23
TOTAL,TOTAL,PC,EE,2006-01-01,20
TOTAL,TOTAL,PC,EE,2007-01-01,21
TOTAL,TOTAL,PC,EE,2008-01-01,17
TOTAL,TOTAL,PC,EE,2009-01-01,19
TOTAL,TOTAL,PC,EE,2010-01-01,18
TOTAL,TOTAL,PC,EE,2011-01-01,14
TOTAL,TOTAL,PC,EE,2012-01-01,15
TOTAL,TOTAL,PC,EE,2013-01-01,
TOTAL,TOTAL,PC,EE,2014-01-01,12
TOTAL,TOTAL,PC,EE,2015-01-01,
TOTAL,TOTAL,PC,EE,2016-01-01,9
TOTAL,TOTAL,PC,EE,2017-01-01,7
TOTAL,TOTAL,PC,EL,2003-01-01,9
TOTAL,TOTAL,PC,EL,2004-01-01,7
TOTAL,TOTAL,PC,EL,2005-01-01,8
TOTAL,TOTAL,PC,EL,2006-01-01,8
TOTAL,TOTAL,PC,EL,2007-01-01,10
TOTAL,TOTAL,PC,EL,2008-01-01,12
TOTAL,TOTAL,PC,EL,2009-01-01,16
TOTAL,TOTAL,PC,EL,2010-01-01,19
TOTAL,TOTAL,PC,EL,2011-01-01,20
TOTAL,TOTAL,PC,EL,2012-01-01,20
TOTAL,TOTAL,PC,EL,2013-01-01,
TOTAL,TOTAL,PC,EL,2014-01-01,16
TOTAL,TOTAL,PC,EL,2015-01-01,
TOTAL,TOTAL,PC,EL,2016-01-01,11
TOTAL,TOTAL,PC,EL,2017-01-01,13
TOTAL,TOTAL,PC,ES,2003-01-01,
TOTAL,TOTAL,PC,ES,2004-01-01,18
TOTAL,TOTAL,PC,ES,2005-01-01,18
TOTAL,TOTAL,PC,ES,2006-01-01,19
TOTAL,TOTAL,PC,ES,2007-01-01,17
TOTAL,TOTAL,PC,ES,2008-01-01,14
TOTAL,TOTAL,PC,ES,2009-01-01,16
TOTAL,TOTAL,PC,ES,2010-01-01,13
TOTAL,TOTAL,PC,ES,2011-01-01,10
TOTAL,TOTAL,PC,ES,2012-01-01,10
TOTAL,TOTAL,PC,ES,2013-01-01,
TOTAL,TOTAL,PC,ES,2014-01-01,11
TOTAL,TOTAL,PC,ES,2015-01-01,
TOTAL,TOTAL,PC,ES,2016-01-01,10
TOTAL,TOTAL,PC,ES,2017-01-01,8
TOTAL,TOTAL,PC,EU,2003-01-01,
TOTAL,TOTAL,PC,EU,2004-01-01,
TOTAL,TOTAL,PC,EU,2005-01-01,
TOTAL,TOTAL,PC,EU,2006-01-01,
TOTAL,TOTAL,PC,EU,2007-01-01,
TOTAL,TOTAL,PC,EU,2008-01-01,
TOTAL,TOTAL,PC,EU,2009-01-01,
TOTAL,TOTAL,PC,EU,2010-01-01,
TOTAL,TOTAL,PC,EU,2011-01-01,14
TOTAL,TOTAL,PC,EU,2012-01-01,13
TOTAL,TOTAL,PC,EU,2013-01-01,
TOTAL,TOTAL,PC,EU,2014-01-01,14
TOTAL,TOTAL,PC,EU,2015-01-01,
TOTAL,TOTAL,PC,EU,2016-01-01,
TOTAL,TOTAL,PC,EU,2017-01-01,11
TOTAL,TOTAL,PC,EU27,2003-01-01,
TOTAL,TOTAL,PC,EU27,2004-01-01,
TOTAL,TOTAL,PC,EU27,2005-01-01,
TOTAL,TOTAL,PC,EU27,2006-01-01,
TOTAL,TOTAL,PC,EU27,2007-01-01,15
TOTAL,TOTAL,PC,EU27,2008-01-01,14
TOTAL,TOTAL,PC,EU27,2009-01-01,16
TOTAL,TOTAL,PC,EU27,2010-01-01,14
TOTAL,TOTAL,PC,EU27,2011-01-01,14
TOTAL,TOTAL,PC,EU27,2012-01-01,13
TOTAL,TOTAL,PC,EU27,2013-01-01,
TOTAL,TOTAL,PC,EU27,2014-01-01,14
TOTAL,TOTAL,PC,EU27,2015-01-01,
TOTAL,TOTAL,PC,EU27,2016-01-01,13
TOTAL,TOTAL,PC,EU27,2017-01-01,11
TOTAL,TOTAL,PC,EU28,2003-01-01,
TOTAL,TOTAL,PC,EU28,2004-01-01,
TOTAL,TOTAL,PC,EU28,2005-01-01,
TOTAL,TOTAL,PC,EU28,2006-01-01,
TOTAL,TOTAL,PC,EU28,2007-01-01,
TOTAL,TOTAL,PC,EU28,2008-01-01,
TOTAL,TOTAL,PC,EU28,2009-01-01,
TOTAL,TOTAL,PC,EU28,2010-01-01,14
TOTAL,TOTAL,PC,EU28,2011-01-01,14
TOTAL,TOTAL,PC,EU28,2012-01-01,13
TOTAL,TOTAL,PC,EU28,2013-01-01,
TOTAL,TOTAL,PC,EU28,2014-01-01,14
TOTAL,TOTAL,PC,EU28,2015-01-01,
TOTAL,TOTAL,PC,EU28,2016-01-01,13
TOTAL,TOTAL,PC,EU28,2017-01-01,11
TOTAL,TOTAL,PC,FI,2003-01-01,
TOTAL,TOTAL,PC,FI,2004-01-01,16
TOTAL,TOTAL,PC,FI,2005-01-01,17
TOTAL,TOTAL,PC,FI,2006-01-01,15
TOTAL,TOTAL,PC,FI,2007-01-01,12
TOTAL,TOTAL,PC,FI,2008-01-01,13
TOTAL,TOTAL,PC,FI,2009-01-01,13
TOTAL,TOTAL,PC,FI,2010-01-01,8
TOTAL,TOTAL,PC,FI,2011-01-01,8
TOTAL,TOTAL,PC,FI,2012-01-01,8
TOTAL,TOTAL,PC,FI,2013-01-01,
TOTAL,TOTAL,PC,FI,2014-01-01,7
TOTAL,TOTAL,PC,FI,2015-01-01,
TOTAL,TOTAL,PC,FI,2016-01-01,6
TOTAL,TOTAL,PC,FI,2017-01-01,6
TOTAL,TOTAL,PC,FR,2003-01-01,
TOTAL,TOTAL,PC,FR,2004-01-01,22
TOTAL,TOTAL,PC,FR,2005-01-01,17
TOTAL,TOTAL,PC,FR,2006-01-01,16
TOTAL,TOTAL,PC,FR,2007-01-01,16
TOTAL,TOTAL,PC,FR,2008-01-01,14
TOTAL,TOTAL,PC,FR,2009-01-01,15
TOTAL,TOTAL,PC,FR,2010-01-01,15
TOTAL,TOTAL,PC,FR,2011-01-01,14
TOTAL,TOTAL,PC,FR,2012-01-01,14
TOTAL,TOTAL,PC,FR,2013-01-01,
TOTAL,TOTAL,PC,FR,2014-01-01,15
TOTAL,TOTAL,PC,FR,2015-01-01,
TOTAL,TOTAL,PC,FR,2016-01-01,14
TOTAL,TOTAL,PC,FR,2017-01-01,13
TOTAL,TOTAL,PC,HR,2003-01-01,
TOTAL,TOTAL,PC,HR,2004-01-01,
TOTAL,TOTAL,PC,HR,2005-01-01,
TOTAL,TOTAL,PC,HR,2006-01-01,
TOTAL,TOTAL,PC,HR,2007-01-01,
TOTAL,TOTAL,PC,HR,2008-01-01,
TOTAL,TOTAL,PC,HR,2009-01-01,
TOTAL,TOTAL,PC,HR,2010-01-01,4
TOTAL,TOTAL,PC,HR,2011-01-01,3
TOTAL,TOTAL,PC,HR,2012-01-01,3
TOTAL,TOTAL,PC,HR,2013-01-01,
TOTAL,TOTAL,PC,HR,2014-01-01,2
TOTAL,TOTAL,PC,HR,2015-01-01,
TOTAL,TOTAL,PC,HR,2016-01-01,3
TOTAL,TOTAL,PC,HR,2017-01-01,
TOTAL,TOTAL,PC,HU,2003-01-01,
TOTAL,TOTAL,PC,HU,2004-01-01,
TOTAL,TOTAL,PC,HU,2005-01-01,12
TOTAL,TOTAL,PC,HU,2006-01-01,10
TOTAL,TOTAL,PC,HU,2007-01-01,12
TOTAL,TOTAL,PC,HU,2008-01-01,13
TOTAL,TOTAL,PC,HU,2009-01-01,11
TOTAL,TOTAL,PC,HU,2010-01-01,11
TOTAL,TOTAL,PC,HU,2011-01-01,10
TOTAL,TOTAL,PC,HU,2012-01-01,10
TOTAL,TOTAL,PC,HU,2013-01-01,
TOTAL,TOTAL,PC,HU,2014-01-01,13
TOTAL,TOTAL,PC,HU,2015-01-01,
TOTAL,TOTAL,PC,HU,2016-01-01,9
TOTAL,TOTAL,PC,HU,2017-01-01,7
TOTAL,TOTAL,PC,IE,2003-01-01,15
TOTAL,TOTAL,PC,IE,2004-01-01,14
TOTAL,TOTAL,PC,IE,2005-01-01,14
TOTAL,TOTAL,PC,IE,2006-01-01,16
TOTAL,TOTAL,PC,IE,2007-01-01,15
TOTAL,TOTAL,PC,IE,2008-01-01,12
TOTAL,TOTAL,PC,IE,2009-01-01,14
TOTAL,TOTAL,PC,IE,2010-01-01,10
TOTAL,TOTAL,PC,IE,2011-01-01,10
TOTAL,TOTAL,PC,IE,2012-01-01,10
TOTAL,TOTAL,PC,IE,2013-01-01,
TOTAL,TOTAL,PC,IE,2014-01-01,11
TOTAL,TOTAL,PC,IE,2015-01-01,
TOTAL,TOTAL,PC,IE,2016-01-01,9
TOTAL,TOTAL,PC,IE,2017-01-01,
TOTAL,TOTAL,PC,IS,2003-01-01,
TOTAL,TOTAL,PC,IS,2004-01-01,3
TOTAL,TOTAL,PC,IS,2005-01-01,3
TOTAL,TOTAL,PC,IS,2006-01-01,2
TOTAL,TOTAL,PC,IS,2007-01-01,3
TOTAL,TOTAL,PC,IS,2008-01-01,3
TOTAL,TOTAL,PC,IS,2009-01-01,4
TOTAL,TOTAL,PC,IS,2010-01-01,3
TOTAL,TOTAL,PC,IS,2011-01-01,2
TOTAL,TOTAL,PC,IS,2012-01-01,3
TOTAL,TOTAL,PC,IS,2013-01-01,
TOTAL,TOTAL,PC,IS,2014-01-01,2
TOTAL,TOTAL,PC,IS,2015-01-01,
TOTAL,TOTAL,PC,IS,2016-01-01,2
TOTAL,TOTAL,PC,IS,2017-01-01,
TOTAL,TOTAL,PC,IT,2003-01-01,
TOTAL,TOTAL,PC,IT,2004-01-01,15
TOTAL,TOTAL,PC,IT,2005-01-01,14
TOTAL,TOTAL,PC,IT,2006-01-01,14
TOTAL,TOTAL,PC,IT,2007-01-01,16
TOTAL,TOTAL,PC,IT,2008-01-01,14
TOTAL,TOTAL,PC,IT,2009-01-01,15
TOTAL,TOTAL,PC,IT,2010-01-01,12
TOTAL,TOTAL,PC,IT,2011-01-01,14
TOTAL,TOTAL,PC,IT,2012-01-01,14
TOTAL,TOTAL,PC,IT,2013-01-01,
TOTAL,TOTAL,PC,IT,2014-01-01,18
TOTAL,TOTAL,PC,IT,2015-01-01,
TOTAL,TOTAL,PC,IT,2016-01-01,14
TOTAL,TOTAL,PC,IT,2017-01-01,12
TOTAL,TOTAL,PC,LT,2003-01-01,
TOTAL,TOTAL,PC,LT,2004-01-01,
TOTAL,TOTAL,PC,LT,2005-01-01,9
TOTAL,TOTAL,PC,LT,2006-01-01,7
TOTAL,TOTAL,PC,LT,2007-01-01,7
TOTAL,TOTAL,PC,LT,2008-01-01,5
TOTAL,TOTAL,PC,LT,2009-01-01,6
TOTAL,TOTAL,PC,LT,2010-01-01,5
TOTAL,TOTAL,PC,LT,2011-01-01,4
TOTAL,TOTAL,PC,LT,2012-01-01,5
TOTAL,TOTAL,PC,LT,2013-01-01,
TOTAL,TOTAL,PC,LT,2014-01-01,4
TOTAL,TOTAL,PC,LT,2015-01-01,
TOTAL,TOTAL,PC,LT,2016-01-01,3
TOTAL,TOTAL,PC,LT,2017-01-01,8
TOTAL,TOTAL,PC,LU,2003-01-01,18
TOTAL,TOTAL,PC,LU,2004-01-01,15
TOTAL,TOTAL,PC,LU,2005-01-01,15
TOTAL,TOTAL,PC,LU,2006-01-01,11
TOTAL,TOTAL,PC,LU,2007-01-01,9
TOTAL,TOTAL,PC,LU,2008-01-01,10
TOTAL,TOTAL,PC,LU,2009-01-01,10
TOTAL,TOTAL,PC,LU,2010-01-01,10
TOTAL,TOTAL,PC,LU,2011-01-01,10
TOTAL,TOTAL,PC,LU,2012-01-01,14
TOTAL,TOTAL,PC,LU,2013-01-01,
TOTAL,TOTAL,PC,LU,2014-01-01,16
TOTAL,TOTAL,PC,LU,2015-01-01,
TOTAL,TOTAL,PC,LU,2016-01-01,12
TOTAL,TOTAL,PC,LU,2017-01-01,12
TOTAL,TOTAL,PC,LV,2003-01-01,
TOTAL,TOTAL,PC,LV,2004-01-01,
TOTAL,TOTAL,PC,LV,2005-01-01,22
TOTAL,TOTAL,PC,LV,2006-01-01,27
TOTAL,TOTAL,PC,LV,2007-01-01,27
TOTAL,TOTAL,PC,LV,2008-01-01,28
TOTAL,TOTAL,PC,LV,2009-01-01,25
TOTAL,TOTAL,PC,LV,2010-01-01,23
TOTAL,TOTAL,PC,LV,2011-01-01,19
TOTAL,TOTAL,PC,LV,2012-01-01,17
TOTAL,TOTAL,PC,LV,2013-01-01,
TOTAL,TOTAL,PC,LV,2014-01-01,13
TOTAL,TOTAL,PC,LV,2015-01-01,
TOTAL,TOTAL,PC,LV,2016-01-01,10
TOTAL,TOTAL,PC,LV,2017-01-01,8
