statinfo,geo,comspec,unittime,date,value
NSME,EU_V,CO_FARM,I90,2014-01-01,
NSME,EU_V,CO_FARM,I90,2015-01-01,
NSME,EU_V,CO_FOR,I00,1990-01-01,
NSME,EU_V,CO_FOR,I00,1991-01-01,
NSME,EU_V,CO_FOR,I00,1992-01-01,
NSME,EU_V,CO_FOR,I00,1993-01-01,
NSME,EU_V,CO_FOR,I00,1994-01-01,
NSME,EU_V,CO_FOR,I00,1995-01-01,
NSME,EU_V,CO_FOR,I00,1996-01-01,
NSME,EU_V,CO_FOR,I00,1997-01-01,
NSME,EU_V,CO_FOR,I00,1998-01-01,
NSME,EU_V,CO_FOR,I00,1999-01-01,
NSME,EU_V,CO_FOR,I00,2000-01-01,
NSME,EU_V,CO_FOR,I00,2001-01-01,
NSME,EU_V,CO_FOR,I00,2002-01-01,
NSME,EU_V,CO_FOR,I00,2003-01-01,
NSME,EU_V,CO_FOR,I00,2004-01-01,
NSME,EU_V,CO_FOR,I00,2005-01-01,
NSME,EU_V,CO_FOR,I00,2006-01-01,
NSME,EU_V,CO_FOR,I00,2007-01-01,
NSME,EU_V,CO_FOR,I00,2008-01-01,
NSME,EU_V,CO_FOR,I00,2009-01-01,
NSME,EU_V,CO_FOR,I00,2010-01-01,
NSME,EU_V,CO_FOR,I00,2011-01-01,
NSME,EU_V,CO_FOR,I00,2012-01-01,
NSME,EU_V,CO_FOR,I00,2013-01-01,
NSME,EU_V,CO_FOR,I00,2014-01-01,
NSME,EU_V,CO_FOR,I00,2015-01-01,
NSME,EU_V,CO_FOR,I90,1990-01-01,
NSME,EU_V,CO_FOR,I90,1991-01-01,
NSME,EU_V,CO_FOR,I90,1992-01-01,
NSME,EU_V,CO_FOR,I90,1993-01-01,
NSME,EU_V,CO_FOR,I90,1994-01-01,
NSME,EU_V,CO_FOR,I90,1995-01-01,
NSME,EU_V,CO_FOR,I90,1996-01-01,
NSME,EU_V,CO_FOR,I90,1997-01-01,
NSME,EU_V,CO_FOR,I90,1998-01-01,
NSME,EU_V,CO_FOR,I90,1999-01-01,
NSME,EU_V,CO_FOR,I90,2000-01-01,
NSME,EU_V,CO_FOR,I90,2001-01-01,
NSME,EU_V,CO_FOR,I90,2002-01-01,
NSME,EU_V,CO_FOR,I90,2003-01-01,
NSME,EU_V,CO_FOR,I90,2004-01-01,
NSME,EU_V,CO_FOR,I90,2005-01-01,
NSME,EU_V,CO_FOR,I90,2006-01-01,
NSME,EU_V,CO_FOR,I90,2007-01-01,
NSME,EU_V,CO_FOR,I90,2008-01-01,
NSME,EU_V,CO_FOR,I90,2009-01-01,
NSME,EU_V,CO_FOR,I90,2010-01-01,
NSME,EU_V,CO_FOR,I90,2011-01-01,
NSME,EU_V,CO_FOR,I90,2012-01-01,
NSME,EU_V,CO_FOR,I90,2013-01-01,
NSME,EU_V,CO_FOR,I90,2014-01-01,
NSME,EU_V,CO_FOR,I90,2015-01-01,
